μνήσομαι οὐδὲ λάθωμαι Ἀπόλλωνος ἑκάτοιο,	-uu -u u-u u--- uu--	dactylic hexameter	feminine penthemimeral
ὅντε θεοὶ κατὰ δῶμα Διὸς τρομέουσιν ἰόντα:	-u u- uu -u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καί ῥά τ᾽ἀναΐσσουσιν ἐπὶ σχεδὸν ἐρχομένοιο	- u u---u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
πάντες ἀφ᾽ ἑδράων, ὅτε φαίδιμα τόξα τιταίνει.	-u u --- uu -uu -u u--	dactylic hexameter	masculine penthemimeral
Λητὼ δ᾽οἴη μίμνε παραὶ Διὶ τερπικεραύνῳ,	-- -- -u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἥ ῥα βιόν τ᾽ἐχάλασσε καὶ ἐκλήισσε φαρέτρην,	- u u- uu-u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καί οἱ ἀπ᾽ ἰφθίμων ὤμων χείρεσσιν ἑλοῦσα	- u u --- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
τόξα κατεκρέμασε πρὸς κίονα πατρὸς ἑοῖο	-u u-uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral
πασσάλου ἐκ χρυσέου: τὸν δ᾽ἐς θρόνον εἷσεν ἄγουσα.	-uu - uu- - - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τῷ δ᾽ἄρα νέκταρ ἔδωκε πατὴρ δέπαϊ χρυσείῳ	- uu -u u-u u- uu- ---	dactylic hexameter	feminine penthemimeral, hepthemimeral
δεικνύμενος φίλον υἱόν: ἔπειτα δὲ δαίμονες ἄλλοι	-uu- uu -u u-u u -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἔνθα καθίζουσιν: χαίρει δέ τε πότνια Λητώ,	-u u--- -- u u -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
οὕνεκα τοξοφόρον καὶ καρτερὸν υἱὸν ἔτικτε.	-uu -uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral
χαῖρε, μάκαιρ᾽ ὦ Λητοῖ, ἐπεὶ τέκες ἀγλαὰ τέκνα,	-u u- - -u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Ἀπόλλωνά τ᾽ἄνακτα καὶ Ἄρτεμιν ἰοχέαιραν,	---u u-u u -uu -uu--	dactylic hexameter	feminine penthemimeral
τὴν μὲν ἐν Ὀρτυγίῃ, τὸν δὲ κραναῇ ἐνὶ Δήλῳ,	- u u -uu- - - uu- uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
κεκλιμένη πρὸς μακρὸν ὄρος καὶ Κύνθιον ὄχθον,	-uu- - -u u- - -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀγχοτάτω φοίνικος, ἐπ᾽ Ἰνωποῖο ῥεέθροις.	-uu- --u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πῶς τ᾽ἄρ σ᾽ὑμνήσω πάντως εὔυμνον ἐόντα;	- - --- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
πάντη γάρ τοι, Φοῖβε, νόμοι βεβλήατ᾽ ἀοιδῆς,	-- - - -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἠμὲν ἀν᾽ ἤπειρον πορτιτρόφον ἠδ᾽ ἀνὰ νήσους:	-u u --- --uu - uu --	dactylic hexameter	masculine penthemimeral
πᾶσαι δὲ σκοπιαί τοι ἅδον καὶ πρώονες ἄκροι	-- - uu- u u- - -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὑψηλῶν ὀρέων ποταμοί θ᾽ἅλαδε προρέοντες	--- uu- uu- uu- uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀκταί τ᾽εἰς ἅλα κεκλιμέναι λιμένες τε θαλάσσης.	-- - uu -uu- uu- u u--	dactylic hexameter	hepthemimeral, trithemimeral
ἦ ὥς σε πρῶτον Λητὼ τέκε, χάρμα βροτοῖσι,	- - - -- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
κλινθεῖσα πρὸς Κύνθου ὄρος κραναῇ ἐνὶ νήσῳ,	--- - -u u- uu- uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Δήλῳ ἐν ἀμφιρύτῃ; ἑκάτερθε δὲ κῦμα κελαινὸν	-u u -uu- uu-u u -u u--	dactylic hexameter	masculine penthemimeral
ἐξῄει χέρσονδε λιγυπνοίοις ἀνέμοισιν,	--- --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἔνθεν ἀπορνύμενος πᾶσι θνητοῖσιν ἀνάσσεις.	-u u-uu- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὅσσους Κρήτη τ᾽ἐντὸς ἔχει καὶ δῆμος Ἀθηνῶν	-- -- -u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
νῆσός τ᾽Αἰγίνη ναυσικλειτή τ᾽Εὔβοια,	-- --- ---- ---	dactylic hexameter	masculine penthemimeral
Αἰγαί, Πειρεσίαι τε καὶ ἀγχιάλη Πεπάρηθος	-- -uu- u u -uu- uu--	dactylic hexameter	masculine penthemimeral
Θρηίκιός τ᾽Ἀθόως καὶ Πηλίου ἄκρα κάρηνα	-uu- uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Θρηικίη τε Σάμος Ἴδης τ᾽ὄρεα σκιόεντα,	-uu- u u- -- uu- uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
Σκῦρος καὶ Φώκαια καὶ Αὐτοκάνης ὄρος αἰπύ,	-- - --u u -uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἴμβρος τ᾽εὐκτιμένη καὶ Λῆμνος ἀμιχθαλόεσσα	-- -uu- - -u u-uu--	dactylic hexameter	masculine penthemimeral
Λέσβος τ᾽ἠγαθέη, Μάκαρος ἕδος Αἰολίωνος,	-- -uu- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
καὶ Χίος, ἣ νήσων λιπαρωτάτη εἰν ἁλὶ κεῖται,	- uu - -- uu-uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
παιπαλόεις τε Μίμας καὶ Κωρύκου ἄκρα κάρηνα	-uu- u u- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
καὶ Κλάρος αἰγλήεσσα καὶ Αἰσαγέης ὄρος αἰπὺ	- uu ---u u -uu- uu --	dactylic hexameter	feminine penthemimeral
καὶ Σάμος ὑδρηλὴ Μυκάλης τ᾽αἰπεινὰ κάρηνα	- uu --- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Μίλητός τε Κόως τε, πόλις Μερόπων ἀνθρώπων,	--- u u- u u- uu- ---	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
καὶ Κνίδος αἰπεινὴ καὶ Κάρπαθος ἠνεμόεσσα	- uu --- - -uu -uu--	dactylic hexameter	masculine penthemimeral
Νάξος τ᾽ἠδὲ Πάρος Ῥήναιά τε πετρήεσσα,	-- -u u- --u u ----	dactylic hexameter	masculine penthemimeral
τόσσον ἔπ᾽ ὠδίνουσα Ἑκηβόλον ἵκετο Λητώ,	-u u ---u u-uu -uu --	dactylic hexameter	feminine penthemimeral
εἴ τίς οἱ γαιέων υἱεῖ θέλοι οἰκία θέσθαι.	- - - -- -- uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
