Δήμητρ᾽ ἠύκομον, σεμνὴν θεόν, ἄρχομ᾽ ἀείδειν,	-- -uu- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αὐτὴν ἠδὲ θύγατρα τανύσφυρον, ἣν Ἀιδωνεὺς	-- -u u-u u-uu - uu--	dactylic hexameter	feminine penthemimeral
ἥρπαξεν, δῶκεν δὲ βαρύκτυπος εὐρύοπα Ζεύς,	--- -- u u-uu -uu- -	dactylic hexameter	masculine penthemimeral, trithemimeral
νόσφιν Δήμητρος χρυσαόρου, ἀγλαοκάρπου,	-- --- --uu -uu--	dactylic hexameter	masculine penthemimeral
παίζουσαν κούρῃσι σὺν Ὠκεανοῦ βαθυκόλποις	--- --u u -uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄνθεά τ᾽αἰνυμένην, ῥόδα καὶ κρόκον ἠδ᾽ ἴα καλὰ	-uu -uu- uu - uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
λειμῶν᾽ ἂμ μαλακὸν καὶ ἀγαλλίδας ἠδ᾽ ὑάκινθον	-- - uu- u u-uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
νάρκισσόν θ᾽,ὃν φῦσε δόλον καλυκώπιδι κούρῃ	--- - -u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Γαῖα Διὸς βουλῇσι χαριζομένη Πολυδέκτῃ,	-u u- --u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
θαυμαστὸν γανόωντα: σέβας τό γε πᾶσιν ἰδέσθαι	--- uu-u u- u u -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀθανάτοις τε θεοῖς ἠδὲ θνητοῖς ἀνθρώποις:	-uu- u u- -- -- ---	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τοῦ καὶ ἀπὸ ῥίζης ἑκατὸν κάρα ἐξεπεφύκει:	- u u- -- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
κὦζ᾽ ἥδιστ᾽ ὀδμή, πᾶς τ᾽οὐρανὸς εὐρὺς ὕπερθεν	- -- -- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
γαῖά τε πᾶσ᾽ ἐγελάσσε καὶ ἁλμυρὸν οἶδμα θαλάσσης.	-u u - uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
