Ἑρμῆν ὕμνει, Μοῦσα, Διὸς καὶ Μαιάδος υἱόν,	-- -- -u u- - -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
Κυλλήνης μεδέοντα καὶ Ἀρκαδίης πολυμήλου,	--- uu-u u -uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄγγελον ἀθανάτων ἐριούνιον, ὃν τέκε Μαῖα,	-uu -uu- uu-uu - uu --	dactylic hexameter	masculine penthemimeral
νύμφη ἐυπλόκαμος, Διὸς ἐν φιλότητι μιγεῖσα,	-u u-uu- uu - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αἰδοίη: μακάρων δὲ θεῶν ἠλεύαθ᾽ ὅμιλον,	--- uu- u u- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἄντρον ἔσω ναίουσα παλίσκιον, ἔνθα Κρονίων	-u u- --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
νύμφῃ ἐυπλοκάμῳ μισγέσκετο νυκτὸς ἀμολγῷ,	-u u-uu- --uu -u u--	dactylic hexameter	masculine penthemimeral
ὄφρα κατὰ γλυκὺς ὕπνος ἔχοι λευκώλενον Ἥρην,	-u u- uu -u u- --uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
λήθων ἀθανάτους τε θεοὺς θνητούς τ᾽ἀνθρώπους.	-- -uu- u u- -- ---	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλλ᾽ ὅτε δὴ μεγάλοιο Διὸς νόος ἐξετελεῖτο,	- uu - uu-u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τῇ δ᾽ἤδη δέκατος μεὶς οὐρανῷ ἐστήρικτο,	- -- uu- - -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
εἴς τε φόως ἄγαγεν ἀρίσημά τε ἔργα τέτυκτο:	- u u- uu- uu-u u -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
καὶ τότ᾽ ἐγείνατο παῖδα πολύτροπον, αἱμυλομήτην,	- u u-uu -u u-uu -uu--	dactylic hexameter	feminine penthemimeral
ληιστῆρ᾽, ἐλατῆρα βοῶν, ἡγήτορ᾽ ὀνείρων,	--- uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
νυκτὸς ὀπωπητῆρα, πυληδόκον, ὃς τάχ᾽ ἔμελλεν	-u u---u u-uu - u u--	dactylic hexameter	feminine penthemimeral
ἀμφανέειν κλυτὰ ἔργα μετ᾽ ἀθανάτοισι θεοῖσιν.	-uu- uu -u u -uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἠῷος γεγονὼς μέσῳ ἤματι ἐγκιθάριζεν,	--- uu- uu -uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἑσπέριος βοῦς κλέψεν ἑκηβόλου Ἀπόλλωνος	-uu- - -u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
τετράδι τῇ προτέρῃ, τῇ μιν τέκε πότνια Μαῖα.	-uu - uu- - - uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὃς καί, ἐπειδὴ μητρὸς ἀπ᾽ ἀθανάτων θόρε γυίων,	- u u-- -u u -uu- uu --	dactylic hexameter	feminine penthemimeral
οὐκέτι δηρὸν ἔκειτο μένων ἱερῷ ἐνὶ λίκνῳ,	-uu -u u-u u- uu- uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀλλ᾽ ὅ γ᾽ἀναΐξας ζήτει βόας Ἀπόλλωνος	- u u--- -- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
οὐδὸν ὑπερβαίνων ὑψηρεφέος ἄντροιο.	-u u--- --uu- ---	dactylic hexameter	masculine penthemimeral
ἔνθα χέλυν εὑρὼν ἐκτήσατο μυρίον ὄλβον:	-u u- -- --uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
Ἑρμῆς τοι πρώτιστα χέλυν τεκτήνατ᾽ ἀοιδόν:	-- - --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἥ ῥά οἱ ἀντεβόλησεν ἐπ᾽ αὐλείῃσι θύρῃσι	- u u -uu-u u ---u u--	dactylic hexameter	feminine penthemimeral
βοσκομένη προπάροιθε δόμων ἐριθηλέα ποίην,	-uu- uu-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
σαῦλα ποσὶν βαίνουσα: Διὸς δ᾽ἐριούνιος υἱὸς	-u u- --u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀθρήσας ἐγέλασσε καὶ αὐτίκα μῦθον ἔειπε:	--- uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
σύμβολον ἤδη μοι μέγ᾽ ὀνήσιμον: οὐκ ὀνοτάζω.	-uu -- - u u-uu - uu--	dactylic hexameter	masculine penthemimeral
χαῖρε, φυὴν ἐρόεσσα, χοροιτύπε, δαιτὸς ἑταίρη,	-u u- uu-u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀσπασίη προφανεῖσα: πόθεν τόδε καλὸν ἄθυρμα	-uu- uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
αἰόλον ὄστρακον ἕσσο χέλυς ὄρεσι ζώουσα;	-uu -uu -u u- uu- ---	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀλλ᾽ οἴσω σ᾽ἐς δῶμα λαβών: ὄφελός τι μοι ἔσσῃ,	- -- - -u u- uu- u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὐδ᾽ ἀποτιμήσω: σὺ δέ με πρώτιστον ὀνήσεις	- uu--- u u - --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
οἴκοι βέλτερον εἶναι, ἐπεὶ βλαβερὸν τὸ θύρηφιν:	-- -uu -u u- uu- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἦ γὰρ ἐπηλυσίης πολυπήμονος ἔσσεαι ἔχμα	- u u-uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
ζώουσ᾽: ἢν δὲ θάνῃς, τότε κεν μάλα καλὸν ἀείδοις.	-- - u u- uu - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὣς ἂρ᾽ ἔφη: καὶ χερσὶν ἅμ᾽ ἀμφοτέρῃσιν ἀείρας	- u u- - -u u -uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἂψ εἴσω κίε δῶμα φέρων ἐρατεινὸν ἄθυρμα.	- -- uu -u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἔνθ᾽ ἀναπηρώσας γλυφάνῳ πολιοῖο σιδήρου	- uu--- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αἰῶν᾽ ἐξετόρησεν ὀρεσκῴοιο χελώνης.	-- -uu-u u---u u--	dactylic hexameter	feminine penthemimeral
ὡς δ᾽ὁπότ᾽ ὠκὺ νόημα διὰ στέρνοιο περήσῃ	- uu -u u-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀνέρος, ὅν τε θαμειαὶ ἐπιστρωφῶσι μέριμναι,	-uu - u u-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἢ ὅτε δινηθῶσιν ἀπ᾽ ὀφθαλμῶν ἀμαρυγαί,	- uu ---u u --- uu--	dactylic hexameter	feminine penthemimeral
ὣς ἅμ᾽ ἔπος τε καὶ ἔργον ἐμήδετο κύδιμος Ἑρμῆς.	- u u- u u -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
πῆξε δ᾽ἄρ᾽ ἐν μέτροισι ταμὼν δόνακας καλάμοιο	-u u - --u u- uu- uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
