οἳ μὲν γὰρ Δρακάνῳ σ᾽,οἳ δ᾽Ἰκάρῳ ἠνεμοέσσῃ	- - - uu- - -uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
φάσʼ, οἳ δ᾽ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,	- - - -- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οἳ δέ σ᾽ἐπʼ Ἀλφειῷ ποταμῷ βαθυδινήεντι	- u u --- uu- uu----	dactylic hexameter	masculine penthemimeral, hepthemimeral
κυσαμένην Σεμέλην τεκέειν Διὶ τερπικεραύνῳ·	-uu- uu- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἄλλοι δ᾽ἐν Θήβῃσιν, ἄναξ, σε λέγουσι γενέσθαι,	-- - --u u- u u-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ψευδόμενοι· σὲ δ᾽ἔτικτε πατὴρ ἀνδρῶν τε θεῶν τε	-uu- u u-u u- -- u u- -	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
πολλὸν ἀπʼ ἀνθρώπων, κρύπτων λευκώλενον Ἥρην.	-u u --- -- --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔστι δέ τις Νύση, ὕπατον ὄρος, ἀνθέον ὕλῃ,	-u u - uu -uu -- -uu --	dactylic hexameter	trithemimeral
τηλοῦ Φοινίκης, σχεδὸν Αἰγύπτοιο ῥοάων,	-- --- uu ---u u--	dactylic hexameter	masculine penthemimeral
καί οἱ ἀναστήσουσιν ἀγάλματα πόλλʼ ἐνὶ νηοῖς.	- u u---u u-uu - uu --	dactylic hexameter	feminine penthemimeral
ὣς δὲ τὰ μὲν τρία, σοὶ πάντως τριετηρίσιν αἰεὶ	- u u - uu - -- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἄνθρωποι ῥέξουσι τεληέσσας ἑκατόμβας.	--- --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἦ καὶ κυανέῃσιν ἐπʼ ὀφρύσι νεῦσε Κρονίων·	- - -uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
ἀμβρόσιαι δ᾽ἄρα χαῖται ἐπερρώσαντο ἄνακτος	-uu- uu -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
κρατὸς ἀπʼ ἀθανάτοιο· μέγαν δ᾽ἐλέλιξεν Ὄλυμπον.	-u u -uu-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ὣς εἰπὼν ἐπένευσε καρήατι μητίετα Ζεύς.	- -- uu-u u-uu -uu- -	dactylic hexameter	feminine penthemimeral, trithemimeral
ἵληθʼ, εἰραφιῶτα, γυναιμανές· οἱ δέ σ᾽ἀοιδοὶ	-- -uu-u u-uu - u u--	dactylic hexameter	feminine penthemimeral
ᾁδομεν ἀρχόμενοι λήγοντές τ᾽·οὐδέ πῃ ἔστι	-uu -uu- --- -u u --	dactylic hexameter	masculine penthemimeral
σεῖʼ ἐπιληθομένῳ ἱερῆς μεμνῆσθαι ἀοιδῆς.	- uu-uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
καὶ σὺ μὲν οὕτω χαῖρε, Διώνυσʼ εἰραφιῶτα,	- u u -- -u u-- -uu--	dactylic hexameter	feminine penthemimeral
σὺν μητρὶ Σεμέλῃ, ἥν περ καλέουσι Θυώνην.	- -- uu- - - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
αἰδοίην, χρυσοστέφανον, καλὴν Ἀφροδίτην	--- --uu- -- uu--	dactylic hexameter	hepthemimeral, trithemimeral
ᾁσομαι, ἣ πάσης Κύπρου κρήδεμνα λέλογχεν	-uu - -- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
εἰναλίης, ὅθι μιν Ζεφύρου μένος ὑγρὸν ἀέντος	-uu- uu - uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἤνεικεν κατὰ κῦμα πολυφλοίσβοιο θαλάσσης	--- uu -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀφρῷ ἔνι μαλακῷ: τὴν δὲ χρυσάμπυκες Ὧραι	-u u- uu- - - --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
δέξαντ᾽ ἀσπασίως, περὶ δ᾽ἄμβροτα εἵματα ἕσσαν:	-- -uu- uu -uu -uu --	dactylic hexameter	masculine penthemimeral
κρατὶ δ᾽ἐπ᾽ ἀθανάτῳ στεφάνην εὔτυκτον ἔθηκαν	-u u -uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
καλήν, χρυσείην: ἐν δὲ τρητοῖσι λοβοῖσιν	-- --- - - --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἄνθεμ᾽ ὀρειχάλκου χρυσοῖό τε τιμήεντος:	-u u--- --u u ----	dactylic hexameter	masculine penthemimeral
