ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν	-uu- uu -u u-uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας	-uu - --u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Κυανέας βασιλῆος ἐφημοσύνῃ Πελίαο	-uu- uu-u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
χρύσειον μετὰ κῶας ἐύζυγον ἤλασαν Ἀργώ.	--- uu -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
τοίην γὰρ Πελίης φάτιν ἔκλυεν, ὥς μιν ὀπίσσω	-- - uu- uu -uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
μοῖρα μένει στυγερή, τοῦδʼ ἀνέρος, ὅντινʼ ἴδοιτο	-u u- uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
δημόθεν οἰοπέδιλον, ὑπʼ ἐννεσίῃσι δαμῆναι.	-uu -uu-u u -uu-u u--	dactylic hexameter	feminine penthemimeral
δηρὸν δʼοὐ μετέπειτα τεὴν κατὰ βάξιν Ἰήσων	-- - uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
χειμερίοιο ῥέεθρα κιὼν διὰ ποσσὶν Ἀναύρου	-uu-u u-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἄλλο μὲν ἐξεσάωσεν ὑπʼ ἰλύος, ἄλλο δʼ ἔνερθεν	-u u -uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
κάλλιπεν αὖθι πέδιλον ἐνισχόμενον προχοῇσιν.	-uu -u u-u u-uu- uu--	dactylic hexameter	feminine penthemimeral
ἵκετο δʼ ἐς Πελίην αὐτοσχεδὸν ἀντιβολήσων	-uu - uu- --uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
εἰλαπίνης, ἣν πατρὶ Ποσειδάωνι καὶ ἄλλοις	-uu- - -u u---u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
ῥέζε θεοῖς, Ἥρης δὲ Πελασγίδος οὐκ ἀλέγιζεν.	-u u- -- u u-uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
αἶψα δὲ τόνγʼ ἐσιδὼν ἐφράσσατο, καί οἱ ἄεθλον	-u u - uu- --uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἔντυε ναυτιλίης πολυκηδέος, ὄφρʼ ἐνὶ πόντῳ	-uu -uu- uu-uu - uu --	dactylic hexameter	masculine penthemimeral
ἠὲ καὶ ἀλλοδαποῖσι μετʼ ἀνδράσι νόστον ὀλέσσῃ.	-u u -uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
νῆα μὲν οὖν οἱ πρόσθεν ἐπικλείουσιν ἀοιδοὶ	-u u - - -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἄργον Ἀθηναίης καμέειν ὑποθημοσύνῃσιν.	-u u--- uu- uu-uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
νῦν δʼ ἂν ἐγὼ γενεήν τε καὶ οὔνομα μυθησαίμην	- u u- uu- u u -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ἡρώων, δολιχῆς τε πόρους ἁλός, ὅσσα τʼ ἔρεξαν	--- uu- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
πλαζόμενοι· Μοῦσαι δʼ ὑποφήτορες εἶεν ἀοιδῆς.	-uu- -- uu-uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
πρῶτά νυν Ὀρφῆος μνησώμεθα, τόν ῥά ποτʼ αὐτὴ	-u u --- --uu - u u --	dactylic hexameter	masculine penthemimeral
Καλλιόπη Θρήικι φατίζεται εὐνηθεῖσα	-uu- --u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
Οἰάγρῳ σκοπιῆς Πιμπληίδος ἄγχι τεκέσθαι	--- uu- --uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
αὐτὰρ τόν γʼ ἐνέπουσιν ἀτειρέας οὔρεσι πέτρας	-- - uu-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
θέλξαι ἀοιδάων ἐνοπῇ ποταμῶν τε ῥέεθρα.	-u u--- uu- uu- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
φηγοὶ δʼ ἀγριάδες, κείνης ἔτι σήματα μολπῆς,	-- -uu- -- uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀκτῆς Θρηικίης Ζώνης ἔπι τηλεθόωσαι	-- -uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἑξείης στιχόωσιν ἐπήτριμοι, ἃς ὅ γʼ ἐπιπρὸ	--- uu-u u-uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
θελγομένας φόρμιγγι κατήγαγε Πιερίηθεν.	-uu- --u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ὀρφέα μὲν δὴ τοῖον ἑῶν ἐπαρωγὸν ἀέθλων	-uu - - -u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Αἰσονίδης Χείρωνος ἐφημοσύνῃσι πιθήσας	-uu- --u u-uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
δέξατο, Πιερίῃ Βιστωνίδι κοιρανέοντα.	-uu -uu- --uu -uu--	dactylic hexameter	masculine penthemimeral
ἤλυθε δʼ Ἀστερίων αὐτοσχεδόν, ὅν ῥα Κομήτης	-uu -uu- --uu - u u--	dactylic hexameter	masculine penthemimeral
γείνατο δινήεντος ἐφʼ ὕδασιν Ἀπιδανοῖο,	-uu ---u u -uu -uu--	dactylic hexameter	feminine penthemimeral
Πειρεσιὰς ὄρεος Φυλληίου ἀγχόθι ναίων,	-uu- uu- --uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἔνθα μὲν Ἀπιδανός τε μέγας καὶ δῖος Ἐνιπεὺς	-u u -uu- u u- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἄμφω συμφορέονται, ἀπόπροθεν εἰς ἓν ἰόντες.	-- -uu-u u-uu - u u--	dactylic hexameter	feminine penthemimeral
Λάρισαν δʼ ἐπὶ τοῖσι λιπὼν Πολύφημος ἵκανεν	--- uu -u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Εἰλατίδης, ὃς πρὶν μὲν ἐρισθενέων Λαπιθάων,	-uu- - - u u-uu- uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὁππότε Κενταύροις Λαπίθαι ἐπὶ θωρήσσοντο,	-uu --- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὁπλότερος πολέμιζε· τότʼ αὖ βαρύθεσκέ οἱ ἤδη	-uu- uu-u u - uu-u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
γυῖα, μένεν δʼ ἔτι θυμὸς ἀρήιος, ὡς τὸ πάρος περ.	-u u- uu -u u-uu - u u- -	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐδὲ μὲν Ἴφικλος Φυλάκῃ ἔνι δηρὸν ἔλειπτο,	-u u --- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
μήτρως Αἰσονίδαο· κασιγνήτην γὰρ ὄπυιεν	-- -uu-u u--- u u--	dactylic hexameter	feminine penthemimeral
Αἴσων Ἀλκιμέδην Φυλακηίδα· τῆς μιν ἀνώγει	-- -uu- uu-uu - u u--	dactylic hexameter	masculine penthemimeral
πηοσύνη καὶ κῆδος ἐνικρινθῆναι ὁμίλῳ.	-uu- - -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐδὲ Φεραῖς Ἄδμητος ἐυρρήνεσσιν ἀνάσσων	-u u- --u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
μίμνεν ὑπὸ σκοπιὴν ὄρεος Χαλκωδονίοιο.	-u u- uu- uu- --uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐδʼ Ἀλόπῃ μίμνον πολυλήιοι Ἑρμείαο	- uu- -- uu-uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
υἱέες εὖ δεδαῶτε δόλους, Ἔρυτος καὶ Ἐχίων,	-uu - uu-u u- uu- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τοῖσι δʼ ἐπὶ τρίτατος γνωτὸς κίε νισσομένοισιν	-u u- uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
Αἰθαλίδης· καὶ τὸν μὲν ἐπʼ Ἀμφρυσσοῖο ῥοῇσιν	-uu- - - u u ---u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Μυρμιδόνος κούρη Φθιὰς τέκεν Εὐπολέμεια·	-uu- -- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τὼ δʼ αὖτʼ ἐκγεγάτην Μενετηίδος Ἀντιανείρης.	- - -uu- uu-uu -uu--	dactylic hexameter	masculine penthemimeral
ἤλυθε δʼ ἀφνειὴν προλιπὼν Γυρτῶνα Κόρωνος	-uu --- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Καινεΐδης, ἐσθλὸς μέν, ἑοῦ δʼ οὐ πατρὸς ἀμείνων.	-uu- -- u u- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
Καινέα γὰρ ζῶόν περ ἔτι κλείουσιν ἀοιδοὶ	-uu - -- u u- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
Κενταύροισιν ὀλέσθαι, ὅτε σφέας οἶος ἀπʼ ἄλλων	---u u-u u- uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἤλασʼ ἀριστήων· οἱ δʼ ἔμπαλιν ὁρμηθέντες	-u u--- - -uu ----	dactylic hexameter	masculine penthemimeral
οὔτε μιν ἐγκλῖναι προτέρω σθένον, οὔτε δαΐξαι·	-u u --- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλλʼ ἄρρηκτος ἄκαμπτος ἐδύσετο νειόθι γαίης,	- --u u-u u-uu -uu --	dactylic hexameter	feminine penthemimeral
θεινόμενος στιβαρῇσι καταΐγδην ἐλάτῃσιν.	-uu- uu-u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἤλυθε δʼ αὖ Μόψος Τιταρήσιος, ὃν περὶ πάντων	-uu - -- uu-uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
Λητοΐδης ἐδίδαξε θεοπροπίας οἰωνῶν·	-uu- uu-u u-uu- ---	dactylic hexameter	feminine penthemimeral, trithemimeral
ἠδὲ καὶ Εὐρυδάμας Κτιμένου πάις· ἄγχι δὲ λίμνης	-u u -uu- uu- uu -u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral
Ξυνιάδος Κτιμένην Δολοπηίδα ναιετάασκεν.	-uu- uu- uu-uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
καὶ μὴν Ἄκτωρ υἷα Μενοίτιον ἐξ Ὀπόεντος	- - -- -u u-uu - uu--	dactylic hexameter	feminine penthemimeral
ὦρσεν, ἀριστήεσσι σὺν ἀνδράσιν ὄφρα νέοιτο.	-u u---u u -uu -u u--	dactylic hexameter	feminine penthemimeral
εἵπετο δʼ Εὐρυτίων τε καὶ ἀλκήεις Ἐρυβώτης,	-uu -uu- u u --- uu--	dactylic hexameter	masculine penthemimeral
υἷες ὁ μὲν Τελέοντος, ὁ δʼ Ἴρου Ἀκτορίδαο·	-u u - uu-u u -- -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἤτοι ὁ μὲν Τελέοντος ἐυκλειὴς Ἐρυβώτης,	-u u - uu-u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἴρου δʼ Εὐρυτίων. σὺν καὶ τρίτος ἦεν Ὀιλεύς,	-- -uu- - - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔξοχος ἠνορέην καὶ ἐπαΐξαι μετόπισθεν	-uu -uu- u u--- uu--	dactylic hexameter	masculine penthemimeral
εὖ δεδαὼς δῄοισιν, ὅτε κλίνωσι φάλαγγας.	- uu- --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
αὐτὰρ ἀπʼ Εὐβοίης Κάνθος κίε, τόν ῥα Κάνηθος	-u u --- -- uu - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
πέμπεν Ἀβαντιάδης λελιημένον· οὐ μὲν ἔμελλεν	-u u-uu- uu-uu - u u--	dactylic hexameter	masculine penthemimeral
νοστήσειν Κήρινθον ὑπότροπος. αισα γὰρ ἦεν	--- --u u-uu -u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
αὐτὸν ὁμῶς Μόψον τε δαήμονα μαντοσυνάων	-u u- -- u u-uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
πλαγχθέντας Λιβύης ἐνὶ πείρασι δῃωθῆναι,	--- uu- uu -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ὡς οὐκ ἀνθρώποισι κακὸν μήκιστον ἐπαυρεῖν,	- - ---u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
