ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ᾽ ἄνδρες ἐῶμεν	- uu ---u u -uu -u u--	dactylic hexameter	feminine penthemimeral
ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,	--- -- u u- -- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
πᾶσαι δ᾽ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα	-- --- uu- -- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.	- uu- -- u u- --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τοῦ γάρ καὶ γένος εἰμέν· ὁ δ᾽ἤπιος ἀνθρώποισιν	- - - uu -u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
δεξιὰ σημαίνει, λαοὺς δ᾽ἐπὶ ἔργον ἐγείρει,	-uu --- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
μιμνῄσκων βιότοιο, λέγει δ᾽ὅτε βῶλος ἀρίστη	--- uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
βουσί τε καὶ μακέλῃσι, λέγει δ᾽ὅτε δεξιαὶ ὧραι	-u u - uu-u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.	- uu --- - -uu -u u--	dactylic hexameter	masculine penthemimeral
αὐτὸς γὰρ τά γε σήματ᾽ ἐν οὐρανῷ ἐστήριξεν,	-- - u u -u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄστρα διακρίνας, ἐσκέψατο δ᾽εἰς ἐνιαυτὸν	-u u-uu ---- - uu--	dactylic hexameter	
ἀστέρας οἵ κε μάλιστα τετυγμένα σημαίνοιεν	-uu - u u-u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀνδράσιν ὡράων, ὄφρ᾽ ἔμπεδα πάντα φύωνται.	-uu --- - -uu -u u--	dactylic hexameter	masculine penthemimeral
τῶ μιν ἀεὶ πρῶτόν τε καὶ ὕστατον ἱλάσκονται.	- u u- -- u u -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
χαῖρε, πάτερ, μέγα θαῦμα, μέγ᾽ ἀνθρώποισιν ὄνειαρ,	-u u- uu -u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
αὐτὸς καὶ προτέρη γενεή. Χαίροιτε δὲ Μοῦσαι	-- - uu- uu- --u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
μειλίχιαι μάλα πᾶσαι· ἐμοί γε μὲν ἀστέρας εἰπεῖν	-uu- uu -u u- u u -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ᾗ θέμις εὐχομένῳ τεκμήρατε πᾶσαν ἀοιδήν.	- uu -uu- --uu -u u--	dactylic hexameter	masculine penthemimeral
οἱ μὲν ὁμῶς πολέες τε καὶ ἄλλυδις ἄλλοι ἐόντες	- u u- uu- u u -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
οὐρανῷ ἕλκονται πάντ᾽ ἤματα συνεχὲς αἰεί·	-uu --- - -uu -uu --	dactylic hexameter	masculine penthemimeral
