Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος	-uu- -- uu- uu - uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἐλδεῖν εἰς ἐμὸν ἧτορ ἐπεύχομαι εἵνεκ᾽ ἀοιδῆς,	-- - uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἣν νέον ἐν δέλτοισιν ἐμοῖς ἐπὶ γούνασι θῆκα,	- uu - --u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
δῆριν ἀπειρεσίην, πολεμόκλονον ἔργον Ἄρηος,	-u u-uu- uu-uu -u u--	dactylic hexameter	masculine penthemimeral
εὐχόμενος μερόπεσσιν ἐς οὔατα πᾶσι βαλέσθαι	-uu- uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πῶς μύες ἐν βατράχοισιν ἀριστεύσαντες ἔβησαν,	- uu - uu-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
γηγενέων ἀνδρῶν μιμούμενοι ἔργα Γιγάντων,	-uu- -- --uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὡς λόγος ἐν θνητοῖσιν ἔην. τοίην δ᾽ἔχεν ἀρχήν·	- uu - --u u- -- uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Μῦς ποτε διψαλέος γαλέης κίνδυνον ἀλύξας	- uu -uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
πλησίον ἐν λίμνῃ λίχνον παρέθηκε γένειον,	-uu - -- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὕδατι τερπόμενος μελιηδέϊ· τὸν δὲ κατεῖδε	-uu -uu- uu-uu - u u--	dactylic hexameter	masculine penthemimeral
λιμνόχαρις πολύφημος, ἔπος δ᾽ἐφθέγξατο τοῖον·	-uu- uu-u u- --uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
