Αἰάζω τὸν Ἄδωνιν· "ἀπώλετο καλὸς Ἄδωνις·"	--- u u-u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
"ὤλετο καλὸς Ἄδωνις" ἐπαιάζουσιν Ἔρωτες.	-uu -u u-u u---u u--	dactylic hexameter	feminine penthemimeral
μηκέτι πορφυρέοις ἐνὶ φάρεσι Κύπρι κάθευδε·	-uu -uu- uu -uu -u u--	dactylic hexameter	masculine penthemimeral
ἔγρεο δειλαία, κυανόστολα καὶ πλατάγησον	-uu --- uu-uu - uu--	dactylic hexameter	masculine penthemimeral
στήθεα καὶ λέγε πᾶσιν "ἀπώλετο καλὸς Ἄδωνις."	-uu - uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.	--- u u-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
κεῖται καλὸς Ἄδωνις ἐν ὤρεσι μηρὸν ὀδόντι,	-- -u u-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
λευκῷ λευκὸν ὀδόντι τυπείς, καὶ Κύπριν ἀνιῇ	-- -u u-u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
λεπτὸν ἀποψύχων· τὸ δέ οἱ μέλαν εἴβεται αἷμα	-u u--- u u - uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
χιονέας κατὰ σαρκός, ὑπ̓ ὀφρύσι δ᾽ὄμματα ναρκῇ,	-uu- uu -u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ τὸ ῥόδον φεύγει τῶ χείλεος· ἀμφὶ δὲ τήνῳ	- u u- -- - -uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
θνᾴσκει καὶ τὸ φίλημα, τὸ μήποτε Κύπρις ἀνοίσει.	-- - u u-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Κύπριδι μὲν τὸ φίλημα καὶ οὐ ζώοντος ἀρέσκει,	-uu - u u-u u - --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀλλ̓ οὐκ οἶδεν Ἄδωνις, ὅ νιν θνᾴσκοντ̓ ἐφίλησεν.	- - -u u-u u - -- uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.	--- u u-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄγριον ἄγριον ἕλκος ἔχει κατὰ μηρὸν Ἄδωνις·	-uu -uu -u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
μεῖζον δ᾽ἁ Κυθέρεια φέρει ποτικάρδιον ἕλκος."	-- - uu-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τῆνον μὲν περὶ παῖδα φίλοι κύνες ὠδύραντο	-- - uu -u u- uu ----	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ Νύμφαι κλαίουσιν ὀρειάδες· ἁ δ᾽Ἀφροδίτα	- -- --u u-uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
λυσαμένα πλοκαμῖδας ἀνὰ δρυμὼς ἀλάληται	-uu- uu-u u- -- uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
πενθαλέα νήπλεκτος ἀσάνδαλος· αἱ δὲ βάτοι νιν	-uu- --u u-uu - u u- -	dactylic hexameter	feminine penthemimeral, trithemimeral
ἐρχομέναν κείροντι καὶ ἱερὸν αἷμα δρέπονται·	-uu- --u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὀξὺ δὲ κωκύουσα δἰ ἄγκεα μακρὰ φορεῖται	-u u ---u u -uu -u u--	dactylic hexameter	feminine penthemimeral
Ἀσσύριον βοόωσα πόσιν καὶ παῖδα καλεῦσα.	-uu- uu-u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀμφὶ δέ νιν μέλαν αἷμα παῤ ὀμφαλὸν ᾀωρεῖτο,	-u u - uu -u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
στήθεα δ᾽ἐκ μηρῶν φοινίσσετο, τοὶ δ᾽ὑπὸ μαζοὶ	-uu - -- --uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
χιόνεοι τὸ πάροιθεν Ἀδώνιδι πορφύροντο.	-uu- u u-u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
"αἰαῖ τὰν Κυθέρειαν" ἐπαιάζουσιν Ἔρωτες.	-- - uu-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὤλεσε τὸν καλὸν ἄνδρα, συνώλεσεν ἱερὸν εἶδος.	-uu - uu -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
Κύπριδι μὲν καλὸν εἶδος, ὅτε ζώεσκεν Ἄδωνις·	-uu - uu -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
κάτθανε δ᾽ἁ μορφὰ σὺν Ἀδώνιδι. "τὰν Κύπριν αἰαῖ"	-uu - -- u u-uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
ὤρεα πάντα λέγοντι, καὶ αἱ δρύες "αἲ τὸν Ἄδωνιν."	-uu -u u-u u - uu - u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
καὶ ποταμοὶ κλαίουσι τὰ πένθεα τᾶς Ἀφροδίτας,	- uu- --u u -uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ παγαὶ τὸν Ἄδωνιν ἐν ὤρεσι δακρύοντι,	- -- u u-u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄνθεα δ᾽ἐξ ὀδύνας ἐρυθαίνεται· ἁ δὲ Κυθήρα	-uu - uu- uu-uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
πάντας ἀνὰ κναμώς, ἀνὰ πᾶν νάπος οἰκτρὸν ἀείδει	-u u- -- uu - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
"αἰαῖ τὰν Κυθέρειαν, ἀπώλετο καλὸς Ἄδωνις."	-- - uu-u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἀχὼ δ᾽ἀντεβόασεν "ἀπώλετο καλὸς Ἄδωνις."	-- -uu-u u-uu -u u--	dactylic hexameter	feminine penthemimeral
Κύπριδος αἰνὸν ἔρωτα τίς οὐκ ἔκλαυσεν ἂν αἰαῖ;	-uu -u u-u u - --u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ὡς ἴδεν, ὡς ἐνόησεν Ἀδώνιδος ἄσχετον ἕλκος,	- uu - uu-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ὡς ἴδε φοίνιον αἷμα μαραινομένῳ περὶ μηρῷ,	- uu -uu -u u-uu- uu --	dactylic hexameter	feminine penthemimeral
πάχεας ἀμπετάσασα κινύρετο· "μεῖνον Ἄδωνι,	-uu -uu-u u-uu -u u--	dactylic hexameter	feminine penthemimeral
δύσποτμε μεῖνον Ἄδωνι, πανύστατον ὥς σε κιχείω,	-uu -- --u u-uu - u u--	lyric	
ὥς σε περιπτύξω καὶ χείλεα χείλεσι μίξω.	- u u--- - -uu -uu --	dactylic hexameter	masculine penthemimeral
ἔγρεο τυτθὸν Ἄδωνι, τὸ δ᾽αὖ πύματόν με φίλησον,	-uu -u u-u u - uu- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
τοσσοῦτόν με φίλησον, ὅσον ζώῃ τὸ φίλημα, "	--- u u-u u- -- u u-- -	lyric	
ἄχρις ἀποψύχῃς ἐς ἐμὸν στόμα κεἰς ἐμὸν ἧπαρ	-u u--- u u- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
πνεῦμα τεὸν ῥεύσῃ, τὸ δέ σευ γλυκὺ φίλτρον ἀμέλξω,	-u u- -- u u - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἐκ δὲ πίω τὸν ἔρωτα, φίλημα δὲ τοῦτο φυλάξω	- u u- u u-u u-u u -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὡς αὐτὸν τὸν Ἄδωνιν, ἐπεὶ σύ με δύσμορε φεύγεις,	- -- u u-u u- u u -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
φεύγεις μακρὸν Ἄδωνι, καὶ ἔρχεαι εἰς Ἀχέροντα	-- -u u-u u -uu - uu--	dactylic hexameter	feminine penthemimeral
πὰρ στυγνὸν βασιλῆα καὶ ἄγριον, ἁ δὲ τάλαινα	- -- uu-u u -uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ζώω καὶ θεὸς ἐμμὶ καὶ οὐ δύναμαί σε διώκειν.	-- - uu -u u - uu- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
λάμβανε Περσεφόνα τὸν ἐμὸν πόσιν· ἐσσὶ γὰρ αὐτὰ	-uu -uu- u u- uu -u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral
πολλὸν ἐμεῦ κρέσσων, τὸ δὲ πᾶν καλὸν ἐς σὲ καταρρεῖ·	-u u- -- u u - uu - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἐμμὶ δ᾽ἐγὼ πανάποτμος, ἔχω δ᾽ἀκόρεστον ἀνίαν,	-u u- uu-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ κλαίω τὸν Ἄδωνιν, ὅ μοι θάνε, καί σε φοβεῦμαι.	- -- u u-u u - uu - u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
θνᾴσκεις ὦ τριπόθητε, πόθος δέ μοι ὡς ὄναρ ἔπτα,	-- - uu-u u- u u - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
χήρα δ᾽ἁ Κυθέρεια, κενοὶ δ᾽ἀνὰ δώματ̓ Ἔρωτες.	-u u ---u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
