ξεῖνος Ἀταρνείτης τις ἀνείρετο Πιττακὸν οὕτω	-u u--- u u-uu -uu --	dactylic hexameter	masculine penthemimeral
τὸν Μυτιληναῖον, παῖδα τὸν Ὑρράδιον	- uu--- -u u -uu-	dactylic pentameter	
"ἄττα γέρον, δοιός με καλεῖ γάμος· ἡ μία μὲν δὴ	-u u- -- u u- uu - uu - -	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
νύμφη καὶ πλούτῳ καὶ γενεῇ κατʼ ἐμέ,	-- - -- - uu- u u-	dactylic pentameter	
ἡ δ᾽ἑτέρη προβέβηκε· τί λώιον; εἰ δ᾽ἄγε σύμ μοι	- uu- uu-u u -uu - uu - -	dactylic hexameter	feminine penthemimeral, trithemimeral
βούλευσον, ποτέρην εἰς ὑμέναιον ἄγω.	--- uu- - uu-u u-	dactylic pentameter	
εἶπεν· ὁ δέ σκίπωνα, γεροντικὸν ὅπλον, ἀείρας,	-u u - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
"ἠνίδε, κεῖνοί σοι πᾶν ἐρέουσιν ἔπος.	-uu -- - - uu-u u-	dactylic pentameter	
οἱ δ᾽ἄρʼ ὑπὸ πληγῇσι θοὰς βέμβικας ἔχοντες	- u u- --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἔστρεφον εὐρείῃ παῖδες ἐνὶ τριόδῳ.	-uu --- -u u- uu-	dactylic pentameter	
"κείνων ἔρχεο," φησί, "μετʼ ἴχνια." χὡ μὲν ἐπέστη	-- -uu -u u -uu - u u--	dactylic hexameter	feminine penthemimeral
πλησίον· οἱ δ᾽ἔλεγον· "τὴν κατὰ σαυτὸν ἔλα.	-uu - uu- - uu -u u-	dactylic pentameter	
ταῦτʼ ἀίων ὁ ξεῖνος· ἐφείσατο μείζονος οἴκου	- uu- - -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
δράξασθαι, παίδων κληδόνα συνθέμενος,	--- -- -uu -uu-	dactylic pentameter	
τὴν δ᾽ὀλίγην ὡς κεῖνος ἐς οἰκίον ἤγετο νύμφην.	- uu- - -u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οὕτω καὶ σύ γ᾽ἰὼν τὴν κατὰ σαυτὸν ἔλα.	-- - u u- - uu -u u-	dactylic pentameter	
εἶπέ τις, Ἡράκλειτε, τεὸν μόρον, ἐς δέ με δάκρυ	-u u ---u u- uu - u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἤγαγεν, ἐμνήσθην δ᾽ὁσσάκις ἀμφότεροι	-uu --- -uu -uu-	dactylic pentameter	
ἥλιον ἐν λέσχῃ κατεδύσαμεν· ἀλλὰ σὺ μέν που,	-uu - -- uu-uu -u u - -	dactylic hexameter	masculine penthemimeral, trithemimeral
ξεῖνʼ Ἁλικαρνησεῦ, τετράπαλαι σποδιή·	- uu--- -uu- uu-	dactylic pentameter	
αἱ δὲ τεαὶ ζώουσιν ἀηδόνες, ᾗσιν ὁ πάντων	- u u- --u u-uu -u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἁρπακτὴς Ἀίδης οὐκ ἐπὶ χεῖρα βαλεῖ.	--- uu- - uu -u u-	dactylic pentameter	
[Ὀξεῖαι πάντῃ περὶ τὸν τάφον εἰσὶν ἄκανθαι	--- -- uu - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
καὶ σκόλοπες· βλάψεις τοὺς πόδας, ἢν προσίῃς·	- uu- -- - uu - uu-	dactylic pentameter	
Τίμων μισάνθρωπος ἐνοικέω. ἀλλὰ πάρελθε	-- ---u u-uu -u u--	dactylic hexameter	feminine penthemimeral
οἰμώζειν εἴπας πολλά, πάρελθε μόνον.	--- -- -u u-u u-	dactylic pentameter	
μὴ χαίρειν εἵπῃς με, κακὸν κέαρ, ἀλλὰ πάρελθε·	- -- -- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἶσον ἐμοὶ χαίρειν ἐστὶ τὸ μὴ σὲ γελᾶν.	-u u- -- -u u - u u-	dactylic pentameter	
Τίμων, οὐ γὰρ ἔτʼ ἐσσί, τί τοι, σκότος ἢ φάος ἐχθρόν;	-- - u u -u u - uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
