Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν	-u u- u u -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,	-uu - uu -u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Πηλαγόνων ἐλατῆρα, δικασπόλον οὐρανίδῃσι;	-uu- uu-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;	- - - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον.	- -- uu -u u- uu ----	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,	- u u ---u u -uu -u u--	dactylic hexameter	feminine penthemimeral
Ζεῦ, σὲ δ᾽ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;	- u u -uu- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
"Κρῆτες ἀεὶ ψεῦσται·" καὶ γὰρ τάφον, ὦ ἄνα, σεῖο	-u u- -- - - uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
Κρῆτες ἐτεκτήναντο· σὺ δ᾽οὐ θάνες, ἐσσὶ γὰρ αἰεί.	-u u---u u - uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἐν δέ σε Παρρασίῃ Ῥείη τέκεν, ἧχι μάλιστα	- u u -uu- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔσκεν ὄρος θάμνοισι περισκεπές· ἔνθεν ὁ χῶρος	-u u- --u u-uu -u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἱερός, οὐδέ τί μιν κεχρημένον Εἰλειθυίης	-uu -u u - --uu ----	dactylic hexameter	masculine penthemimeral
ἑρπετὸν οὐδὲ γυνὴ ἐπιμίσγεται, ἀλλά ἑ Ῥείης	-uu -u u- uu-uu -u u --	dactylic hexameter	masculine penthemimeral
ὠγύγιον καλέουσι λεχώιον Ἀπιδανῆες.	-uu- uu-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
