νύμφαι Τρωιάδες, ποταμοῦ Ξάνθοιο γενέθλη,	-- -uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αἳ πλοκάμων κρήδεμνα καὶ ἱερὰ παίγνια χειρῶν	- uu- --u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
πολλάκι πατρῴῃσιν ἐπὶ ψαμάθοισι λιποῦσαι	-uu ---u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἐς χορὸν Ἰδαίῃσιν ἐπεντύνασθε χορείαις,	- uu ---u u---u u--	dactylic hexameter	feminine penthemimeral
δεῦτε, θεμιστοπόλοιο νοήματα μηλοβοτῆρος	-u u-uu-u u-uu -uu--	dactylic hexameter	feminine penthemimeral
εἴπατέ μοι, κελάδοντος ἀπορνύμεναι ποταμοῖο,	-uu - uu-u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἐξ ὀρέων πόθεν ἦλθεν ἀήθεα πόντον ἐλαύνων	- uu- uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀγνώσσων ἁλὸς ἔργα; τί δὲ χρέος ἔπλετο νηῶν	--- uu -u u - uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀρχεκάκων, ἵνα πόντον ὁμοῦ καὶ γαῖαν ὀρίνῃ	-uu- uu -u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
βουκόλος; ὠγυγίη δὲ τίς ἔπλετο νείκεος ἀρχή,	-uu -uu- u u -uu -uu --	dactylic hexameter	masculine penthemimeral
ὄφρα καὶ ἀθανάτοισι θεμιστεύσωσι νομῆες;	-u u -uu-u u---u u--	dactylic hexameter	feminine penthemimeral
τίς δὲ δικασπολίη; πόθεν ἔκλυεν οὔνομα νύμφης	- u u-uu- uu -uu -uu --	dactylic hexameter	masculine penthemimeral
Ἀργείης; αὐταὶ γὰρ ἐθηήσασθε μολοῦσαι	--- -- u u---u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Ἰδαίης τρικάρηνον ὑπὸ πρηῶνα Φαλάκρης	--- uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ Πάριν οἰοπόλοισιν ἐφεδριόωντα θοώκοις	- uu -uu-u u-uu-u u--	dactylic hexameter	feminine penthemimeral
καὶ Χαρίτων βασίλειαν ἀγαλλομένην Ἀφροδίτην.	- uu- uu-u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὣς ὁ μὲν ὑψιλόφοισιν ἐν οὔρεσιν Αἱμονιήων	- u u -uu-u u -uu -uu--	dactylic hexameter	feminine penthemimeral
νυμφιδίων Πηλῆος ἀειδομένων ὑμεναίων	-uu- --u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ζηνὸς ἐφημοσύνῃσιν ἐῳνοχόει Γανυμήδης·	-u u-uu-u u-uu- uu--	dactylic hexameter	feminine penthemimeral
πᾶσα δὲ κυδαίνουσα θεῶν ἔσπευδε γενέθλη	-u u ---u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
αὐτοκασιγνήτην λευκώλενον Ἀμφιτρίτης,	-uu--- --uu -u--	lyric	
Ζεὺς μὲν ἀπ᾽ Οὐλύμποιο, Ποσειδάων δὲ θαλάσσης·	- u u ---u u--- u u--	dactylic hexameter	feminine penthemimeral
