μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	-u u-u u- --uu- uu--	dactylic hexameter	masculine penthemimeral
οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,	-uu- - -u u-- -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πολλὰς δ’ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	-- --- -- uu- uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν	--- -- u u-uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
οἰωνοῖσί τε πᾶσι, Διὸς δ’ἐτελείετο βουλή,	---u u -u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε	- - - - -u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.	-uu- u u- -- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τίς τ’ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;	- - -u u- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς	-- - uu -u u - uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,	-u u- uu -u u- uu-u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα	-uu - -- --uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν	-uu- u u -u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
λυσόμενός τε θύγατρα φέρων τ’ἀπερείσι’ ἄποινα,	-uu- u u-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος	-u u- - -u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,	-u u- -- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·	-uu- u u-u u- --uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,	-uu- u u -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες	-- - - -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’οἴκαδ’ ἱκέσθαι·	--- uu-u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
παῖδα δ’ἐμοὶ λύσαιτε φίλην, τὰ δ’ἄποινα δέχεσθαι,	-u u- --u u- u u-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.	-uu- uu -u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ	- -- - -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·	--- uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,	- - -uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ἐπὶ μῦθον ἔτελλε·	-u u- uu- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω	- u u- --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,	- - --- - -uu -u u--	dactylic hexameter	masculine penthemimeral
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·	- u u - -- -- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τὴν δ’ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν	- uu - -- - - - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης	-uu- uu -u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·	-u u-uu- u u- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλλ’ ἴθι μή μ’ἐρέθιζε σαώτερος ὥς κε νέηαι.	- uu - uu-u u-uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὣς ἔφατ’, ἔδεισεν δ’ὃ γέρων καὶ ἐπείθετο μύθῳ·	- uu --- u u- u u-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
βῆ δ’ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·	- uu- uu -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πολλὰ δ’ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς	-u u- uu-u u- -- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
