μᾶτερ ἐμά, τὸ τεόν, χρύσασπι Θήβα,	-u u- u u- --u --	lyric	
πρᾶγμα καὶ ἀσχολίας ὑπέρτερον	-u u -uu- u-u-	lyric	
θήσομαι. μή μοι κραναὰ νεμεσάσαι	-u- - - uu- uu--	lyric	
Δᾶλος, ἐν ᾇ κέχυμαι.	-u u - uu-	lyric	
τί φίλτερον κεδνῶν τοκέων ἀγαθοῖς;	u -u- -- uu- uu-	lyric	
εἶξον, Ὠπολλωνιάς· ἀμφοτερᾶν τοι χαρίτων σὺν θεοῖς ζεύξω τέλος,	-u ---uu -uu- - uu- - u- -- u-	lyric	
καὶ τὸν ἀκειρεκόμαν Φοῖβον χορεύων	- u u-uu- -- u--	lyric	
ἐν Κέῳ ἀμφιρύτᾳ σὺν ποντίοις	- uu -uu- - -u-	lyric	
ἀνδράσιν, καὶ τὰν ἁλιερκέα, Ἰσθμοῦ	-u- - - uu-uu --	lyric	
δειράδʼ· ἐπεὶ στεφάνους	-u u- uu-	lyric	
ἓξ ὤπασεν Κάδμου στρατῷ ἐξ ἀέθλων,	- -u- -- uu - uu-	lyric	
καλλίνικον πατρίδι κῦδος. ἐν ᾇ καὶ τὸν ἀδείμαντον Ἀλκμήνα τέκεν	-u-- -uu -u u - - u u--u --- u-	lyric	
παῖδα, θρασεῖαι τόν ποτε Γηρυόνα φρῖξαν κύνες.	-- u-- - uu -uu- -- u-	lyric	
ἀλλʼ ἐγὼ Ἡροδότῳ τεύχων τὸ μὲν ἅρματι τεθρίππῳ γέρας,	- uu -uu- -- u u -uu --- u-	lyric	
ἁνία τ᾽ἀλλοτρίαις οὐ χερσὶ νωμάσαντʼ ἐθέλω	-uu -uu- - -u --- uu-	lyric	
ἢ Καστορείῳ ἢ Ἰολάοι᾽ ἐναρμόξαι νιν ὕμνῳ.	- -u-u - uu-- u--- u --	lyric	
κεῖνοι γὰρ ἡρώων διφρηλάται Λακεδαίμονι καὶ Θήβαις ἐτέκνωθεν κράτιστοι·	-- u --- u-u- uu-uu - -- u--- u--	lyric	
ἔν τ᾽ἀέθλοισι θίγον πλείστων ἀγώνων,	- uu-u u- -- u--	lyric	
καὶ τριπόδεσσιν ἐκόσμησαν δόμον	- uu-u u--- u-	lyric	
καὶ λεβήτεσσιν φιάλαισί τε χρυσοῦ,	- u--- uu-u u --	lyric	
γευόμενοι στεφάνων	-uu- uu-	lyric	
νικαφόρων· λάμπει δὲ σαφὴς ἀρετὰ	--u- -- u u- uu-	lyric	
ἔν τε γυμνοῖσι σταδίοις σφίσιν ἔν τ᾽ἀσπιδοδούποισιν ὁπλίταις δρόμοις,	- u --- uu- uu - -uu--u --- u-	lyric	
οἷά τε χερσὶν ἀκοντίζοντες αἰχμαῖς,	-u u -u u---u --	lyric	
καὶ λιθίνοις ὁπότʼ ἐν δίσκοις ἵεν.	- uu- uu - -- u-	lyric	
οὐ γὰρ ἦν πεντάθλιον, ἀλλʼ ἐφʼ ἑκάστῳ	- u - --uu - u u--	lyric	
ἔργματι κεῖτο τέλος.	-uu -u u-	lyric	
τῶν ἀθρόοις ἀνδησάμενοι θαμάκις	- -u- --uu- uu-	lyric	
ἔρνεσιν χαίτας ῥεέθροισί τε Δίρκας ἔφανεν καὶ παρʼ Εὐρώτᾳ πέλας,	-u- -- uu-u u -- uu- - u --- u-	lyric	
Ἰφικλέος μὲν παῖς ὁμόδαμος ἐὼν Σπαρτῶν γένει,	--u- - - uu-u u- -- u-	lyric	
Τυνδαρίδας δ᾽ἐν Ἀχαιοῖς ὑψίπεδον Θεράπνας οἰκέων ἕδος.	-uu- u u-- -uu- uu- -- u-	lyric	
χαίρετʼ. ἐγὼ δὲ Ποσειδάωνι Ἰσθμῷ τε ζαθέᾳ	-u u- u u---u -- - uu-	lyric	
Ὀγχηστίαισίν τ᾽ἀϊόνεσσιν περιστέλλων ἀοιδὰν	--u-- -uu-- u--- u--	lyric	
γαρύσομαι τοῦδʼ ἀνδρὸς ἐν τιμαῖσιν ἀγακλέα τὰν Ἀσωποδώρου πατρὸς αἶσαν	--u- - -u - --u u-uu - --u-- -u --	lyric	
Ὀρχομενοῖό τε πατρῴαν ἄρουραν,	-uu-u u --- u--	lyric	
ἅ νιν ἐρειδόμενον ναυαγίαις	- u u-uu- --u-	lyric	
ἐξ ἀμετρήτας ἁλὸς ἐν κρυοέσσᾳ	- u--- uu - uu--	lyric	
δέξατο συντυχίᾳ·	-uu -uu-	lyric	
νῦν δ᾽αὖτις ἀρχαίας ἐπέβασε πότμος	- -u --- uu-u u-	lyric	
