λέξω τὰ πάντα νητρεκῶς, ἅ μ᾽ἱστορεῖς,	-- u -u -u- u -u-	iambic trimeter (tragic)	
ἀρχῆς ἀπ᾽ ἄκρας· ἢν δὲ μηκυνθῇ λόγος,	-- u -- - u --- u-	iambic trimeter (tragic)	
σύγγνωθι δέσποτ᾽· οὐ γὰρ ἥσυχος κόρη	--u -u - u -u- u-	iambic trimeter (tragic)	
ἔλυσε χρησμῶν, ὡς πρίν, αἰόλον στόμα,	u-u -- - u -u- u-	iambic trimeter (tragic)	
ἀλλ᾽ ἄσπετον χέασα παμμιγῆ βοὴν	- -u- u-u -u- u-	iambic trimeter (tragic)	
δαφνηφάγων φοίβαζεν ἐκ λαιμῶν ὄπα,	--u- --u - -- u-	iambic trimeter (tragic)	
Σφιγγὸς κελαινῆς γῆρυν ἐκμιμουμένη.	-- u-- -u -u-u-	iambic trimeter (tragic)	
τῶν ἅσσα θυμῷ καὶ διὰ μνήμης ἔχω,	- -u -- - u- -- u-	iambic trimeter (tragic)	
κλύοις ἄν, ὦναξ, κἀναπεμπάζων φρενὶ	u- u -- -u--- u-	iambic trimeter (tragic)	
πυκνῇ διοίχνει δυσφάτους αἰνιγμάτων	-- u-- -u- --u-	iambic trimeter (tragic)	
οἴμας τυλίσσων, ᾗπερ εὐμαθὴς τρίβος	-- u-- -u -u- u-	iambic trimeter (tragic)	
ὀρθῇ κελεύθῳ τἀν σκότῳ ποδηγετεῖ.	-- u-- - u- u-u-	iambic trimeter (tragic)	
ἐγὼ δ᾽ἄκραν βαλβῖδα μηρίνθου σχάσας,	u- u- --u --- u-	iambic trimeter (tragic)	
ἄνειμι λοξῶν εἰς διεξόδους ἐπῶν,	u-u -- - u-u- u-	iambic trimeter (tragic)	
πρώτην ἀράξας νύσσαν ὡς πτηνὸς δρομεύς.	-- u-- -u - -- u-	iambic trimeter (tragic)	
Ἠὼς μὲν αἰπὺν ἄρτι Φηγίου πάγον	-- u -u -u -u- u-	iambic trimeter (tragic)	
κραιπνοῖς ὑπερποτᾶτο Πηγάσου πτεροῖς,	-- u-u-u -u- u-	iambic trimeter (tragic)	
Τιθωνὸν ἐν κοίταισι τῆς Κέρνης πέλας	u-u - --u - -- u-	iambic trimeter (tragic)	
λιποῦσα, τὸν σὸν ἀμφιμήτριον κάσιν.	u-u - u -u-u- u-	iambic trimeter (tragic)	
οἱ δ᾽οὖσα γρώνης εὐγάληνα χερμάδος	- -u -- -u-u -u-	iambic trimeter (tragic)	
ναῦται λίαζον κἀπὸ γῆς ἐσχάζοσαν	-- u-- -u - --u-	iambic trimeter (tragic)	
ὕσπληγγας. αἱ δὲ παρθενοκτόνον Θέτιν	--u - u -u-u- u-	iambic trimeter (tragic)	
ἰουλόπεζοι θεῖνον εὐῶπες σπάθαις	u-u-- -u --- u-	iambic trimeter (tragic)	
πελαργοχρῶτες, αἱ Φαλακραῖαι κόραι,	u-u-u - u--- u-	iambic trimeter (tragic)	
ὑπὲρ Καλυδνῶν λευκὰ φαίνουσαι πτίλα,	u- u-- -u --- u-	iambic trimeter (tragic)	
ἄφλαστα, καὶ φώσσωνας ὠργυιωμένους	u-u - --u ---u-	iambic trimeter (tragic)	
ἀπαρκτίαις πρηστῆρος αἴθωνος πνοαῖς.	u-u- --u --- u-	iambic trimeter (tragic)	
ἡ δ᾽ἔνθεον σχάσασα βακχεῖον στόμα,	- -u- u-u --- u-	iambic trimeter (tragic)	
ἄτης ἀπ᾽ ἄκρων βουπλανοκτίστων λόφων,	u- u -- -u--- u-	iambic trimeter (tragic)	
τοιῶνδ᾽ ἀπ᾽ ἀρχῆς ἦρχ᾽ Ἀλεξάνδρα λόγων·	-- u -- - u--- u-	iambic trimeter (tragic)	
αἰαῖ, τάλαινα θηλαμών, κεκαυμένη	-- u-u -u- u-u-	iambic trimeter (tragic)	
καὶ πρόσθε μὲν πεύκαισιν οὐλαμηφόροις	- -u - --u -u-u-	iambic trimeter (tragic)	
τριεσπέρου λέοντος, ὅν ποτε γνάθοις	u-u- u-u - u- u-	iambic trimeter (tragic)	
Τρίτωνος ἠμάλαψε κάρχαρος κύων·	u-u -u-u -u- u-	iambic trimeter (tragic)	
ἔμπνους δὲ δαιτρὸς ἡπάτων φλοιδούμενος	-- u -u -u- --u-	iambic trimeter (tragic)	
τινθῷ λέβητος ἀφλόγοις ἐπ᾽ ἐσχάραις	-- u-u -u- u -u-	iambic trimeter (tragic)	
σμήριγγας ἐστάλαξε κωδείας πέδῳ,	--u -u-u --- u-	iambic trimeter (tragic)	
ὁ τεκνοραίστης, λυμεὼν ἐμῆς πάτρας,	u -u-- -u- u- u-	iambic trimeter (tragic)	
ὁ δευτέραν τεκοῦσαν ἄτρωτον βαρεῖ	u -u- u-u --- u-	iambic trimeter (tragic)	
τύψας ἀτράκτῳ στέρνον, ἔν τ᾽αὐλῷ μέσῳ	-- u-- -u - -- u-	iambic trimeter (tragic)	
πατρὸς παλαιστοῦ χερσὶν ὀχμάσας δέμας	u- u-- -u -u- u-	iambic trimeter (tragic)	
Κρόνου παρ᾽ αἰπὺν ὄχθον, ἔνθα γηγενοῦς	u- u -u -u -u -u-	iambic trimeter (tragic)	
ἵππων ταρακτής ἐστιν Ἰσχένου τάφος,	-- u-- -u -u- u-	iambic trimeter (tragic)	
ὁ τὴν θαλάσσης Αὐσονίτιδος μυχοὺς	u - u-- -u-u- u-	iambic trimeter (tragic)	
στενοὺς ὀπιπεύουσαν ἀγρίαν κύνα	u- u---u -u- u-	iambic trimeter (tragic)	
κτανὼν ὑπὲρ σπήλυγγος ἰχθυωμένην,	u- u- --u -u-u-	iambic trimeter (tragic)	
ταυροσφάγον λέαιναν, ἣν αὖθις πατὴρ	--u- u-u - -- u-	iambic trimeter (tragic)	
σάρκας καταίθων λοφνίσιν δωμήσατο,	-- u-- -u- --u-	iambic trimeter (tragic)	
Λέπτυνιν οὐ τρέμουσαν, οὐδαίαν θεόν·	--u - u-u --- u-	iambic trimeter (tragic)	
ἐξηνάριξεν ὅν ποτ᾽ ἀξίφῳ δόλῳ	--u-u - u -u- u-	iambic trimeter (tragic)	
νέκυς, τὸν Ἅιδην δεξιούμενον πάλαι·	u- u -- -u-u- u-	iambic trimeter (tragic)	
λεύσσω σε, τλῆμον, δεύτερον πυρουμένην	-- u -- -u- u-u-	iambic trimeter (tragic)	
ταῖς τ᾽Αἰακείοις χερσὶ τοῖς τε Ταντάλου	- -u-- -u - u -u-	iambic trimeter (tragic)	
Λέτριναν οἰκουροῦσι λειψάνοις πυρὸς	u-u ---u -u- u-	iambic trimeter (tragic)	
παιδὸς καταβρωθέντος αἰθάλῳ δέμας,	-- u---u -u- u-	iambic trimeter (tragic)	
τοῖς Τευταρείοις βουκόλου πτερώμασι·	- -u-- -u- u-u-	iambic trimeter (tragic)	
τὰ πάντα πρὸς φῶς ἡ βαρύζηλος δάμαρ,	u -u - - - u--- u-	iambic trimeter (tragic)	
στείλασα κοῦρον τὸν κατήγορον χθονός,	--u -- - u-u- u-	iambic trimeter (tragic)	
ἄξει, πατρὸς μομφαῖσιν ἠγριωμένη,	-- u- --u -u-u-	iambic trimeter (tragic)	
λέκτρων θ᾽ἕκατι τῶν τ᾽ἐπεισάκτων γάμων.	-- u-u - u--- u-	iambic trimeter (tragic)	
αὐτὴ δὲ φαρμακουργός, οὐκ ἰάσιμον	-- u -u-u - u-u-	iambic trimeter (tragic)	
ἕλκος δρακοῦσα τοῦ ξυνευνέτου λυγρὸν	-- u-u - u-u- u-	iambic trimeter (tragic)	
Γιγαντοραίστοις ἄρδισιν τετρωμένου	u-u-- -u- u-u-	iambic trimeter (tragic)	
πρὸς ἀνθοπλίτου, ξυνὸν ὀγχήσει μόρον,	u -u-- -u --- u-	iambic trimeter (tragic)	
πύργων ἀπ᾽ ἄκρων πρὸς νεόδμητον νέκυν	-- u -- - u--- u-	iambic trimeter (tragic)	
ῥοιζηδὸν ἐκβράσασα κύμβαχον δέμας·	--u -u-u -u- u-	iambic trimeter (tragic)	
πόθῳ δὲ τοῦ θανόντος ἠγκιστρωμένη,	u- u - u-u ---u-	iambic trimeter (tragic)	
ψυχὴν περὶ σπαίροντι φυσήσει νεκρῷ.	u- u- --u --- u-	iambic trimeter (tragic)	
στένω, στένω σε δισσὰ καὶ τριπλᾶ, δορὸς	u- u- u -u - u- u-	iambic trimeter (tragic)	
αὖθις πρὸς ἀλκὴν καὶ διαρπαγὰς δόμων	-- u -- - u-u- u-	iambic trimeter (tragic)	
καὶ πῦρ ἐναυγάζουσαν αἰστωτήριον.	- - u---u ---u-	iambic trimeter (tragic)	
στένω σε, πάτρα, καὶ τάφους Ἀτλαντίδος	u- u -u - u- u-u-	iambic trimeter (tragic)	
δύπτου κέλωρος, ὅς ποτ᾽ ἐν ῥαπτῷ κύτει,	-- u-u - u - -- u-	iambic trimeter (tragic)	
