Αἴλινά μοι στοναχεῖτε νάπαι καὶ Δώριον ὕδωρ,	-uu - uu-u u- - -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ ποταμοὶ κλαίοιτε τὸν ἱμερόεντα Βίωνα.	- uu- --u u -uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
νῦν φυτά μοι μύρεσθε, καὶ ἄλσεα νῦν γοάοισθε,	- uu - --u u -uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄνθεα νῦν στυμνοῖσιν ἀποπνείοιτε κορύμβοις,	-uu - --u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
νῦν ῥόδα φοινίσσεσθε τὰ πένθιμα, νῦν ἀνεμῶναι,	- uu ---u u -uu - uu--	dactylic hexameter	feminine penthemimeral
νῦν ὑάκινθε λάλει τὰ σὰ γράμματα καὶ πλέον αἰαῖ	- uu-u u- u u -uu - uu --	dactylic hexameter	masculine penthemimeral
βάμβανε τοῖς πετάλοισι· καλὸς τέθνακε μελικτάς.	-uu - uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
ἀδόνες αἱ πυκινοῖσιν ὀδυρόμεναι ποτὶ φύλλοις,	-uu - uu-u u-uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
νάμασι τοῖς Σικελοῖς ἀγγείλατε τᾶς Ἀρεθοίσας,	-uu - uu- --uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὅττι Βίων τέθνακεν ὁ βουκόλος, ὅττι σὺν αὐτῷ	-u u- --u u -uu -u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ τὸ μέλος τέθνακε καὶ ὤλετο Δωρὶς ἀοιδά.	- u u- --u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
Στρυμόνιοι μύρεσθε παῤ ὕδασιν αἴλινα κύκνοι,	-uu- --u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ γοεροῖς στομάτεσσι μελίσδετε πένθιμον ᾠδάν,	- uu- uu-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οἵαν ὑμετέροις ποτὶ χείλεσι γῆρας ἀείδει,	-u u--- uu -uu -u u--	dactylic hexameter	masculine penthemimeral
εἴπατε δ᾽αὖ κούραις Οἰαγρίσιν, εἴπατε πάσαις	-uu - -- --uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
Βιστονίαις Νύμφαισιν "ἀπώλετο Δώριος Ὀρφεύς."	-uu- --u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
κεῖνος ὁ ταῖς ἀγέλαισιν ἐράσμιος οὐκέτι μέλπει,	-u u - uu-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐκέτ᾽ ἐρημαίαισιν ὑπὸ δρυσὶν ἥμενος ᾄδει,	-u u---u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀλλὰ παρὰ Πλουτῆϊ μέλος Ληθαῖον ἀείδει.	-u u- --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ὤρεα δ᾽ἐστὶν ἄφωνα, καὶ αἱ βόες αἱ ποτὶ ταύροις	-uu -u u-u u - uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
πλαζόμεναι γοάοντι καὶ οὐκ ἐθέλοντι νέμεσθαι.	-uu- uu-u u - uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
σεῖο Βίων ἔκλαυσε ταχὺν μόρον αὐτὸς Ἀπόλλων,	-u u- --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ Σάτυροι μύροντο μελάγχλαινοί τε Πρίηποι·	- uu- --u u--- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ Πᾶνες στοναχεῦντο τὸ σὸν μέλος, αἵ τε καθ᾽ ὕλαν	- -- uu-u u - uu - u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Κρανίδες ὠδύραντο, καὶ ὕδατα δάκρυα γέντο.	-uu ---u u -uu -uu --	dactylic hexameter	feminine penthemimeral
Ἀχὼ δ᾽ἐν πέτραισιν ὀδύρεται, ὅττι σιωπῇ	-- - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
κοὐκέτι μιμεῖται τὰ σὰ χείλεα. σῷ δ᾽ἐπ᾽ ὀλέθρῳ	-uu --- u u -uu - u u--	dactylic hexameter	masculine penthemimeral
δένδρεα καρπὸν ἔριψε, τὰ δ᾽ἄνθεα πάντ᾽ ἐμαράνθη.	-uu -u u-u u -uu - uu--	dactylic hexameter	feminine penthemimeral
μάλων οὐκ ἔρρευσε καλὸν γλάγος, οὐ μέλι σίμβλων,	-- - --u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
κάτθανε δ᾽ἐν κηρῷ λυπεύμενον· οὐκέτι γὰρ δεῖ	-uu - -- --uu -uu - -	dactylic hexameter	masculine penthemimeral, trithemimeral
τῶ μέλιτος τῶ σῶ τεθνακότος αὐτὸ τρυγᾶσθαι.	- uu- - - --uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
οὐ τόσον εἰναλίαισι παῤ ᾀόσι μύρατο Σειρήν,	- uu -uu-u u -uu -uu --	dactylic hexameter	feminine penthemimeral
οὐδὲ τόσον ποκ᾽ ἄεισεν ἐνὶ σκοπέλοισιν Ἀηδών,	-u u- u u-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὐδὲ τόσον θρήνησεν ἀν᾽ ὤρεα μακρὰ Χελιδών,	-u u- --u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἀλκυόνος δ᾽οὐ τόσσον ἐπ᾽ ἄλγεσιν ἴαχε Κῆϋξ,	-uu- - -u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐδὲ τόσον γλαυκοῖς ἐνὶ κύμασι κηρύλος ᾆδεν,	-u u- -- uu -uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
οὐ τόσον ἀῴοισιν ἐν ἄγκεσι παῖδα τὸν Ἀοῦς	- uu ---u u -uu -u u --	dactylic hexameter	feminine penthemimeral
ἱπτάμενος περὶ σᾶμα κινύρατο Μέμνονος ὄρνις,	-uu- uu -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ὅσσον ἀποφθιμένοιο κατωδύραντο Βίωνος.	-u u-uu-u u---u u--	dactylic hexameter	feminine penthemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
ἀδονίδες πᾶσαί τε χελιδόνες, ἅς ποκ᾽ ἔτερπεν,	-uu- -- u u-uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἃς λαλέειν ἐδίδασκε, καθεζόμεναι ποτὶ πρέμνοις	- uu- uu-u u-uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀντίον ἀλλάλαισιν ἐκώκυον· αἳ δ᾽ὑπεφώνευν	-uu ---u u-uu - uu--	dactylic hexameter	feminine penthemimeral
"ὄρνιθες λυπεῖσθ᾽ αἱ πενθάδες· ἀλλὰ καὶ ἡμεῖς."	--- -- - -uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
τίς ποτε σᾷ σύριγγι μελίξεται ὦ τριπόθητε;	- uu - --u u-uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
τίς δ᾽ἐπὶ σοῖς καλάμοις θήσει στόμα; τίς θρασὺς οὕτως;	- uu - uu- -- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
εἰσέτι γὰρ πνείει τὰ σὰ χείλεα καὶ τὸ σὸν ἆσθμα,	-uu - -- u u -uu - u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀχὰ δ᾽ἐν δονάκεσσι τεᾶς ἔτι βόσκετ᾽ ἀοιδᾶς.	-- - uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Πανὶ φέρω τὸ μέλισμα; τάχ᾽ ἂν καὶ κεῖνος ἐρεῖσαι	-u u- u u-u u - - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τὸ στόμα δειμαίνοι, μὴ δεύτερα σεῖο φέρηται.	- uu --- - -uu -u u--	dactylic hexameter	masculine penthemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
κλαίει καὶ Γαλάτεια τὸ σὸν μέλος, ἅν ποκ᾽ ἔτερπες	-- - uu-u u - uu - u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἑζομέναν μετὰ σεῖο παῤ ἀϊόνεσσι θαλάσσας.	-uu- uu -u u -uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐ γὰρ ἴσον Κύκλωπι μελίσδεο· τὸν μὲν ἔφευγεν	- u u- --u u-uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἁ καλὰ Γαλάτεια, σὲ δ᾽ἅδιον ἔβλεπεν ἅλμας.	- uu ---u u -uu -uu --	dactylic hexameter	feminine penthemimeral
καὶ νῦν λασαμένα τῶ κύματος ἐν ψαμάθοισιν	- - -uu- - -uu - uu--	dactylic hexameter	masculine penthemimeral
ἕζετ᾽ ἐρημαίαισι, βόας δ᾽ἔτι σεῖο νομεύει.	-u u---u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἄρχετε Σικελικαὶ τῶ πένθεος ἄρχετε Μοῖσαι.	-uu -uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral
πάντα τοι ὦ βούτα συγκάτθανε δῶρα τὰ Μοισᾶν,	-u u - -- --uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
παρθενικᾶν ἐρόεντα φιλήματα, χείλεα παίδων,	-uu- uu-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ στυμνοὶ περὶ σῶμα τεὸν κλαίουσιν Ἔρωτες.	- -- uu -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
χἀ Κύπρις ποθέει σε πολὺ πλέον ἢ τὸ φίλημα,	- -- uu- u u- uu - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τὸ πρώαν τὸν Ἄδωνιν ἀποθνᾴσκοντα φίλησεν.	- -- u u-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τοῦτό τοι ὦ ποταμῶν λιγυρώτατε δεύτερον ἄλγος,	-u u - uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
