ἄμπνευμα σεμνὸν Ἀλφεοῦ,	--u -u -u-	lyric	
κλεινᾶν Συρακοσσᾶν θάλος Ὀρτυγία,	-- u--- uu -uu-	lyric	
δέμνιον Ἀρτέμιδος,	-uu -uu-	lyric	
Δάλου κασιγνήτα, σέθεν ἁδυεπὴς	-- u--- uu -uu-	lyric	
ὕμνος ὁρμᾶται θέμεν	-u --- u-	lyric	
αἶνον ἀελλοπόδων μέγαν ἵππων, Ζηνὸς Αἰτναίου χάριν·	-u u-uu- uu -- -u --- u-	lyric	
ἅρμα δ᾽ὀτρύνει Χρομίου Νεμέα θʼἔργμασιν νικαφόροις ἐγκώμιον ζεῦξαι μέλος.	-u --- uu- uu- -u- --u- --u- -- u-	lyric	
ἀρχαὶ δὲ βέβληνται θεῶν	-- u --- u-	lyric	
κείνου σὺν ἀνδρὸς δαιμονίαις ἀρεταῖς.	-- u -- -uu- uu-	lyric	
ἔστι δ᾽ἐν εὐτυχίᾳ	-u u -uu-	lyric	
πανδοξίας ἄκρον· μεγάλων δ᾽ἀέθλων	--u- -- uu- uu-	lyric	
Μοῖσα μεμνᾶσθαι φιλεῖ.	-u --- u-	lyric	
σπεῖρέ νυν ἀγλαΐαν τινὰ νάσῳ, τὰν Ὀλύμπου δεσπότας	-u u -uu- uu -- - u-- -u-	lyric	
Ζεὺς ἔδωκεν Φερσεφόνᾳ, κατένευσέν τέ οἱ χαίταις, ἀριστεύοισαν εὐκάρπου χθονὸς	- u-- -uu- uu-- u - -- u---u --- u-	lyric	
Σικελίαν πίειραν ὀρθώσειν κορυφαῖς πολίων ἀφνεαῖς.	uuu- --u --- uu- uu- -u-	lyric	
ὤπασε δὲ Κρονίων πολέμου μναστῆρά οἱ χαλκεντέος	-uu - uu- uu- --u - --u-	lyric	
λαὸν ἵππαιχμον θαμὰ δὴ καὶ Ὀλυμπιάδων φύλλοις ἐλαιᾶν χρυσέοις	-u --- uu - u u-uu- -- u-- -u-	lyric	
μιχθέντα. πολλῶν ἐπέβαν καιρὸν οὐ ψεύδει βαλών.	--u -- uu- -u - -- u-	lyric	
ἔσταν δ᾽ἐπʼ αὐλείαις θύραις	-- u --- u-	lyric	
ἀνδρὸς φιλοξείνου καλὰ μελπόμενος,	-- u--- uu -uu-	lyric	
ἔνθα μοι ἁρμόδιον	-u u -uu-	lyric	
δεῖπνον κεκόσμηται, θαμὰ δ᾽ἀλλοδαπῶν	-- u--- uu -uu-	lyric	
οὐκ ἀπείρατοι δόμοι	- u--- u-	lyric	
ἐντί· λέλογχε δὲ μεμφομένοις ἐσλοὺς ὕδωρ καπνῷ φέρειν	-u u-u u -uu- -- u- -- u-	lyric	
ἀντίον. τέχναι δ᾽ἑτέρων ἕτεραι· χρὴ δ᾽ἐν εὐθείαις ὁδοῖς στείχοντα μάρνασθαι φυᾷ.	-u- -- uu- uu- - u --- u- --u --- u-	lyric	
πράσσει γὰρ ἔργῳ μὲν σθένος,	-- u -- - u-	lyric	
βουλαῖσι δὲ φρήν, ἐσσόμενον προϊδεῖν	--u - - -uu- uu-	lyric	
συγγενὲς οἷς ἕπεται.	-uu - uu-	lyric	
Ἁγησιδάμου παῖ, σέο δ᾽ἀμφὶ τρόπῳ	--u-- - uu -u u-	lyric	
τῶν τε καὶ τῶν χρήσιες.	- u - - -u-	lyric	
οὐκ ἔραμαι πολὺν ἐν μεγάρῳ πλοῦτον κατακρύψαις ἔχειν,	- uu- uu - uu- -- u--- u-	lyric	
ἀλλʼ ἐόντων εὖ τε παθεῖν καὶ ἀκοῦσαι φίλοις ἐξαρκέων. κοιναὶ γὰρ ἔρχοντʼἐλπίδες	- u-- - u u- u u-- u- --u- -- u ---u-	lyric	
πολυπόνων ἀνδρῶν. ἐγὼ δ᾽Ἡρακλέος ἀντέχομαι προφρόνως,	uuu- -- u- --uu -uu- -u-	lyric	
ἐν κορυφαῖς ἀρετᾶν μεγάλαις ἀρχαῖον ὀτρύνων λόγον,	- uu- uu- uu- --u --- u-	lyric	
ὡς, ἐπεὶ σπλάγχνων ὕπο ματέρος αὐτίκα θαητὰν ἐς αἴγλαν παῖς Διὸς	- u- -- uu -uu -uu --- u -- - u-	lyric	
ὠδῖνα φεύγων διδύμῳ σὺν κασιγνήτῳ μόλεν,	--u -- uu- - u--- u-	lyric	
ὡς οὐ λαθὼν χρυσόθρονον	- - u- --u-	lyric	
Ἥραν κροκωτὸν σπάργανον ἐγκατέβα·	-- u-- -uu -uu-	lyric	
ἀλλὰ θεῶν βασιλέα	-u u- uu-	lyric	
σπερχθεῖσα θυμῷ πέμπε δράκοντας ἄφαρ.	--u -- -u u-u u-	lyric	
τοὶ μὲν οἰχθεισᾶν πυλᾶν	- u --- u-	lyric	
ἐς θαλάμου μυχὸν εὐρὺν ἔβαν, τέκνοισιν ὠκείας γνάθους	- uu- uu -u u- --u --- u-	lyric	
ἀμφελίξασθαι μεμαῶτες· ὁ δ᾽ὀρθὸν μὲν ἄντεινεν κάρα, πειρᾶτο δὲ πρῶτον μάχας,	-u--- uu-u u -- u --- u- --u - -- u-	lyric	
δισσαῖσι δοιοὺς αὐχένων	--u -- -u-	lyric	
μάρψαις ἀφύκτοις χερσὶν ἑαῖς ὄφιας·	-- u-- -u u- uu-	lyric	
ἀγχομένοις δὲ χρόνος	-uu- u u-	lyric	
ψυχὰς ἀπέπνευσεν μελέων ἀφάτων.	-- u--- uu- uu-	lyric	
ἐκ δ᾽ἄρʼ ἄτλατον δέος	- u --- u-	lyric	
πλᾶξε γυναῖκας, ὅσαι τύχον Ἀλκμήνας ἀρήγοισαι λέχει·	-u u-u u- uu --- u--- u-	lyric	
καὶ γὰρ αὐτά, ποσσὶν ἄπεπλος ὀρούσαισʼ ἀπὸ στρωμνᾶς, ὅμως ἄμυνεν ὕβριν κνωδάλων.	- u -- -u u-u u-- u- -- u- --u -- -u-	lyric	
