Ῥεῖά κέ τοι μορφάς τε σίνη τ᾽ὀλοφώια θηρῶν	-u u - -- u u- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀπροϊδῆ τύψαντα λύσιν θ᾽ἑτεραλκέα κήδευς,	-uu- --u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
φίλ᾽ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,	- --uu- uu- --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔμπεδα φωνήσαιμι: σὲ δ᾽ἂν πολύεργος ἀροτρεύς	-uu ---u u - uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
βουκαῖός τ᾽ἀλέγοι καὶ ὀροιτύπος, εὖτε καθ᾽ ὕλην	--- uu- u u-uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἢ καὶ ἀροτρεύοντι βάλῃ ἔπι λοιγὸν ὀδόντα,	- u u---u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
τοῖα περιφρασθέντος ἀλεξητήρια νούσων.	-u u---u u---uu --	dactylic hexameter	feminine penthemimeral
Ἀλλ᾽ ἤτοι κακοεργὰ φαλάγγια, σὺν καὶ ἀνιγρούς	- -- uu-u u-uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἑρπηστὰς ἔχιάς τε καὶ ἄχθεα μυρία γαίης	--- uu- u u -uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
Τιτήνων ἐνέπουσιν ἀφ᾽ αἵματος, εἰ ἐτεόν περ	--- uu-u u -uu - uu- -	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἀσκραῖος μυχάτοιο Μελισσήεντος ἐπ᾽ ὄχθαις	--- uu-u u---u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἡσίοδος κατέλεξε παρ᾽ ὕδασι Περμησσοῖο.	-uu- uu-u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
τὸν δὲ χαλαζήεντα κόρη Τιτηνὶς ἀνῆκε	- u u---u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
σκορπίον, ἐκ κέντροιο τεθηγμένον, ἦμος ἐπέχρα	-uu - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Βοιωτῷ τεύχουσα κακὸν μόρον Ὠαρίωνι,	--- --u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀχράντων ὅτε χερσὶ θεῆς ἐδράξατο πέπλων:	--- uu -u u- --uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
αὐτὰρ ὅγε στιβαροῖο κατὰ σφυρὸν ἤλασεν ἴχνευς	-u u- uu-u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
σκορπίος ἀπροϊδὴς ὀλίγῳ ὑπὸ λᾶι λοχήσας:	-uu -uu- uu- uu - ---	dactylic hexameter	masculine penthemimeral, hepthemimeral
τοῦ δὲ τέρας περίσημον ὑπ᾽ ἀστέρας ἀπλανὲς αὔτως	- u u- uu-u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οἷα κυνηλατέοντος ἀείδελον ἐστήρικται.	-u u-uu-u u-uu ----	dactylic hexameter	feminine penthemimeral
Ἀλλὰ σύ γε σταθμοῖο καὶ αὐλίου ἑρπετὰ φύγδην	-u u - --u u -uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ῥηιδίως ἐκ πάντα διώξεαι, ἢ ἀπ᾽ ἐρίπνης,	-uu- - -u u-uu - u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἠὲ καὶ αὐτοπόνοιο χαμευνάδος, ἦμος ἀν᾽ ἀγρούς	-u u -uu-u u-uu -u u --	dactylic hexameter	feminine penthemimeral
φεύγων αὐαλέου θέρεος πυρόεσσαν ἀυτμήν	-- -uu- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αἴθριος ἐν καλάμῃ στορέσας ἀκρέσπερος εὕδῃς,	-uu - uu- uu- --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἢ καὶ ἀνυλήεντα παρὲκ λόφον, ἢ ἐνὶ βήσσης	- u u---u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἐσχατιῇ ὅθι πλεῖστα κινώπετα βόσκεται ὕλην,	-uu- uu -u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
[δρυμοὺς καὶ λασιῶνας ἀμορβαίους τε χαράδρας:	-- - uu-u u--- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καί τε παρὲκ λιστρωτὸν ἅλω δρόμον, ἠδ᾽ ἵνα ποίη	- u u- --u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
πρῶτα κυϊσκομένη χνοάει σκιάοντας ἰάμνους,	-u u-uu- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
τῆμος ὅτ᾽ ἀζαλέων φολίδων ἀπεδύσατο γῆρας	-u u -uu- uu- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
μῶλυς ἐπιστείβων, ὅτε φωλεὸν εἴαρι φεύγων	-u u--- uu -uu -uu --	dactylic hexameter	masculine penthemimeral
ὄμμασιν ἀμβλώσσει, μαράθου δέ ἑ νήχυτος ὄρπηξ	-uu --- uu- u u -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
βοσκηθεὶς ὠκύν τε καὶ αὐγήεντα τίθησι.	--- -- u u ---u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Θιβρὴν δ᾽ἐξελάσεις ὀφίων ἐπιλωβέα κῆρα	-- -uu- uu- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
καπνείων ἐλάφοιο πολυγλώχινα κεραίην,	--- uu-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἄλλοτε δ᾽ἀζαλέην δαίων ἐγγαγίδα πέτρην,	-uu -uu- -- --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἣν οὐδὲ κρατεροῖο πυρὸς περικαίνυται ὁρμή:	- -- uu-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἐν δὲ πολυσχιδέος βλήτρου πυρὶ βάλλεο χαίτην,	- u u-uu- -- uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἢ σύ γε καχρυόεσσαν ἑλὼν πυριθαλπέα ῥίζαν	- u u -uu-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
καρδάμῳ ἀμμίγδην ἰσοελκέι: μίσγε δ᾽ἔνοδμον	-uu --- uu-uu -u u--	dactylic hexameter	masculine penthemimeral
ζορκὸς ἐνὶ πλάστιγγι νέον κέρας ἀσκελὲς ἱστάς,	-u u- --u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καί τε μελανθείου βαρυαέος, ἄλλοτε θείου,	- u u--- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
