Ἠέλιος δ’ἀνόρουσε, λιπὼν περικαλλέα λίμνην,	-uu- uu-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὐρανὸν ἐς πολύχαλκον, ἵν’ ἀθανάτοισι φαείνοι	-uu - uu-u u -uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ θνητοῖσι βροτοῖσιν ἐπὶ ζείδωρον ἄρουραν·	- --u u-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
οἱ δὲ Πύλον, Νηλῆος ἐυκτίμενον πτολίεθρον,	- u u- --u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἷξον· τοὶ δ’ἐπὶ θινὶ θαλάσσης ἱερὰ ῥέζον,	-- - uu -u u-- -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ταύρους παμμέλανας, ἐνοσίχθονι κυανοχαίτῃ.	-- -uu- uu-uu -uu--	dactylic hexameter	masculine penthemimeral
ἐννέα δ’ἕδραι ἔσαν, πεντακόσιοι δ’ἐν ἑκάστῃ	-uu -u u- --uu- u u--	dactylic hexameter	masculine penthemimeral
ἥατο καὶ προύχοντο ἑκάστοθι ἐννέα ταύρους.	-uu - --u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
εὖθ’ οἱ σπλάγχνα πάσαντο, θεῷ δ’ἐπὶ μηρί’ ἔκαιον,	- - -u u-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
οἱ δ’ἰθὺς κατάγοντο ἰδ’ ἱστία νηὸς ἐίσης	- -- uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
στεῖλαν ἀείραντες, τὴν δ’ὥρμισαν, ἐκ δ’ἔβαν αὐτοί·	-u u--- - -uu - uu --	dactylic hexameter	masculine penthemimeral
ἐκ δ’ἄρα Τηλέμαχος νηὸς βαῖν’, ἦρχε δ’Ἀθήνη.	- uu -uu- -- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
τὸν προτέρη προσέειπε θεά, γλαυκῶπις Ἀθήνη·	- uu- uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Τηλέμαχ’, οὐ μέν σε χρὴ ἔτ’ αἰδοῦς, οὐδ’ ἠβαιόν·	-uu - - - u u -- - ---	dactylic hexameter	masculine penthemimeral, trithemimeral
τοὔνεκα γὰρ καὶ πόντον ἐπέπλως, ὄφρα πύθηαι	-uu - - -u u-- -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πατρός, ὅπου κύθε γαῖα καὶ ὅν τινα πότμον ἐπέσπεν.	-u u- uu -u u - uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀλλ’ ἄγε νῦν ἰθὺς κίε Νέστορος ἱπποδάμοιο·	- uu - -- uu -uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
εἴδομεν ἥν τινα μῆτιν ἐνὶ στήθεσσι κέκευθε.	-uu - uu -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
λίσσεσθαι δέ μιν αὐτός, ὅπως νημερτέα εἴπῃ·	--- u u -u u- --uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ψεῦδος δ’οὐκ ἐρέει· μάλα γὰρ πεπνυμένος ἐστί.	-- - uu- uu - --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τὴν δ’αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα·	- - -uu- --uu -uu --	dactylic hexameter	masculine penthemimeral
Μέντορ, πῶς τ’ἄρ’ ἴω; πῶς τ’ἂρ προσπτύξομαι αὐτόν;	-- - u u- - - --uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐδέ τί πω μύθοισι πεπείρημαι πυκινοῖσιν·	-u u - --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
αἰδὼς δ’αὖ νέον ἄνδρα γεραίτερον ἐξερέεσθαι.	-- - uu -u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
τὸν δ’αὖτε προσέειπε θεά, γλαυκῶπις Ἀθήνη·	- -- uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Τηλέμαχ’, ἄλλα μὲν αὐτὸς ἐνὶ φρεσὶ σῇσι νοήσεις,	-uu -u u -u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἄλλα δὲ καὶ δαίμων ὑποθήσεται· οὐ γὰρ ὀίω	-u u - -- uu-uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
οὔ σε θεῶν ἀέκητι γενέσθαι τε τραφέμεν τε.	- u u- uu-u u-- - uu- -	dactylic hexameter	feminine penthemimeral, trithemimeral
ὣς ἄρα φωνήσασ’ ἡγήσατο Παλλὰς Ἀθήνη	- uu --- --uu -u u--	dactylic hexameter	masculine penthemimeral
καρπαλίμως· ὁ δ’ἔπειτα μετ’ ἴχνια βαῖνε θεοῖο.	-uu- u u-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἷξον δ’ἐς Πυλίων ἀνδρῶν ἄγυρίν τε καὶ ἕδρας,	-- - uu- -- uu- u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἔνθ’ ἄρα Νέστωρ ἧστο σὺν υἱάσιν, ἀμφὶ δ’ἑταῖροι	- uu -- -u u -uu -u u--	dactylic hexameter	feminine penthemimeral
δαῖτ’ ἐντυνόμενοι κρέα τ’ὤπτων ἄλλα τ’ἔπειρον.	- --uu- uu -- -u u--	dactylic hexameter	masculine penthemimeral
οἱ δ’ὡς οὖν ξείνους ἴδον, ἁθρόοι ἦλθον ἅπαντες,	- - - -- uu -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
χερσίν τ’ἠσπάζοντο καὶ ἑδριάασθαι ἄνωγον.	-- ---u u -uu-u u--	dactylic hexameter	feminine penthemimeral
πρῶτος Νεστορίδης Πεισίστρατος ἐγγύθεν ἐλθὼν	-- -uu- --uu -uu --	dactylic hexameter	masculine penthemimeral
ἀμφοτέρων ἕλε χεῖρα καὶ ἵδρυσεν παρὰ δαιτὶ	-uu- uu -u u --- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
κώεσιν ἐν μαλακοῖσιν ἐπὶ ψαμάθοις ἁλίῃσιν	-uu - uu-u u- uu- uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
πάρ τε κασιγνήτῳ Θρασυμήδεϊ καὶ πατέρι ᾧ·	- u u--- uu-uu - uu- -	dactylic hexameter	masculine penthemimeral
δῶκε δ’ἄρα σπλάγχνων μοίρας, ἐν δ’οἶνον ἔχευεν	-u u- -- -- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
χρυσείῳ δέπαϊ· δειδισκόμενος δὲ προσηύδα	--- uu- --uu- u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
Παλλάδ’ Ἀθηναίην κούρην Διὸς αἰγιόχοιο·	-u u--- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
εὔχεο νῦν, ὦ ξεῖνε, Ποσειδάωνι ἄνακτι·	-uu - - -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τοῦ γὰρ καὶ δαίτης ἠντήσατε δεῦρο μολόντες.	- - - -- --uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
αὐτὰρ ἐπὴν σπείσῃς τε καὶ εὔξεαι, ἣ θέμις ἐστί,	-u u- -- u u -uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
δὸς καὶ τούτῳ ἔπειτα δέπας μελιηδέος οἴνου	- - -u u-u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
σπεῖσαι, ἐπεὶ καὶ τοῦτον ὀίομαι ἀθανάτοισιν	-u u- - -u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
εὔχεσθαι· πάντες δὲ θεῶν χατέουσ’ ἄνθρωποι.	--- -- u u- uu- ---	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀλλὰ νεώτερός ἐστιν, ὁμηλικίη δ’ἐμοὶ αὐτῷ·	-u u-uu -u u-uu- uu --	dactylic hexameter	feminine penthemimeral
τοὔνεκα σοὶ προτέρῳ δώσω χρύσειον ἄλεισον.	-uu - uu- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὣς εἰπὼν ἐν χειρὶ τίθει δέπας ἡδέος οἴνου·	- -- - -u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
χαῖρε δ’Ἀθηναίη πεπνυμένῳ ἀνδρὶ δικαίῳ,	-u u--- --uu -u u--	dactylic hexameter	masculine penthemimeral
οὕνεκα οἷ προτέρῃ δῶκε χρύσειον ἄλεισον·	-uu - uu- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
αὐτίκα δ’εὔχετο πολλὰ Ποσειδάωνι ἄνακτι·	-uu -uu -u u---u u--	dactylic hexameter	feminine penthemimeral
κλῦθι, Ποσείδαον γαιήοχε, μηδὲ μεγήρῃς	-u u--- --uu -u u--	dactylic hexameter	masculine penthemimeral
ἡμῖν εὐχομένοισι τελευτῆσαι τάδε ἔργα.	-- -uu-u u--- uu --	dactylic hexameter	feminine penthemimeral
Νέστορι μὲν πρώτιστα καὶ υἱάσι κῦδος ὄπαζε,	-uu - --u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
αὐτὰρ ἔπειτ’ ἄλλοισι δίδου χαρίεσσαν ἀμοιβὴν	-u u- --u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
σύμπασιν Πυλίοισιν ἀγακλειτῆς ἑκατόμβης.	--- uu-u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
δὸς δ’ἔτι Τηλέμαχον καὶ ἐμὲ πρήξαντα νέεσθαι,	- uu -uu- u u- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
οὕνεκα δεῦρ’ ἱκόμεσθα θοῇ σὺν νηὶ μελαίνῃ.	-uu - uu-u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ὣς ἄρ’ ἔπειτ’ ἠρᾶτο καὶ αὐτὴ πάντα τελεύτα.	- u u- --u u -- -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
δῶκε δὲ Τηλεμάχῳ καλὸν δέπας ἀμφικύπελλον·	-u u -uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὣς δ’αὔτως ἠρᾶτο Ὀδυσσῆος φίλος υἱός.	- -- --u u--- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οἱ δ’ἐπεί ὤπτησαν κρέ’ ὑπέρτερα καὶ ἐρύσαντο,	- uu --- u u-uu - uu--	dactylic hexameter	masculine penthemimeral
μοίρας δασσάμενοι δαίνυντ’ ἐρικυδέα δαῖτα.	-- -uu- -- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο,	-u u- uu- u u-uu - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ·	- uu -- -u u-uu -uu --	dactylic hexameter	feminine penthemimeral
νῦν δὴ κάλλίον ἐστι μεταλλῆσαι καὶ ἐρέσθαι	- - -uu -u u--- u u--	dactylic hexameter	feminine penthemimeral
ξείνους, οἱ τινές εἰσιν, ἐπεὶ τάρπησαν ἐδωδῆς.	-- - uu -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ὦ ξεῖνοι, τίνες ἐστέ; πόθεν πλεῖθ’ ὑγρὰ κέλευθα;	- -- uu -u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἤ τι κατά πρῆξιν ἦ μαψιδίως ἀλάλησθε	- u u- -- - -uu- uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
οἷά τε ληιστῆρες ὑπεὶρ ἅλα, τοί τ’ἀλόωνται	-u u ---u u- uu - uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ψυχὰς παρθέμενοι κακὸν ἀλλοδαποῖσι πέροντες;	-- -uu- uu -uu-u u--	dactylic hexameter	masculine penthemimeral
τὸν δ’αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα	- - -uu- --uu -uu --	dactylic hexameter	masculine penthemimeral
θαρσήσας· αὐτὴ γὰρ ἐνὶ φρεσὶ θάρσος Ἀθήνη	--- -- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
θῆχ’, ἵνα μιν περὶ πατρὸς ἀποιχομένοιο ἔροιτο	- uu - uu -u u-uu-u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἠδ’ ἵνα μιν κλέος ἐσθλὸν ἐν ἀνθρώποισιν ἔχῃσιν·	- uu - uu -u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
