ἄριστον μὲν ὕδωρ, ὁ δὲ χρυσὸς αἰθόμενον πῦρ	u-- u u- u - -u -uu- -	lyric	
ἅτε διαπρέπει νυκτὶ μεγάνορος ἔξοχα πλούτου·	uu u-u- -u u-uu -uu --	lyric	
εἰ δ᾽ἄεθλα γαρύεν	- u-u -u-	lyric	
ἔλδεαι, φίλον ἦτορ,	-u- uu --	lyric	
μηκέτʼ ἀελίου σκόπει	-u -u- u-	lyric	
ἄλλο θαλπνότερον ἐν ἁμέρᾳ φαεννὸν ἄστρον ἐρήμας διʼ αἰθέρος,	-u -uuu u -u- u-u -u u-- u -u-	lyric	
μηδʼ Ὀλυμπίας ἀγῶνα φέρτερον αὐδάσομεν·	- u-u- u-u -uu --u-	lyric	
ὅθεν ὁ πολύφατος ὕμνος ἀμφιβάλλεται	uu u uuuu -u -u-u-	lyric	
σοφῶν μητίεσσι, κελαδεῖν	u- -u-u uu-	lyric	
Κρόνου παῖδʼ ἐς ἀφνεὰν ἱκομένους	u- - u -u- uuu-	lyric	
μάκαιραν Ἱέρωνος ἑστίαν,	u-u uu-u -u-	lyric	
θεμιστεῖον ὃς ἀμφέπει σκᾶπτον ἐν πολυμάλῳ	u--u u -u- -u - uu--	lyric	
Σικελίᾳ, δρέπων μὲν κορυφὰς ἀρετᾶν ἄπο πασᾶν,	uuu- u- - uu- uu- uu --	lyric	
ἀγλαΐζεται δὲ καὶ	-u-u- u -	lyric	
μουσικᾶς ἐν ἀώτῳ,	-u- u u--	lyric	
οἷα παίζομεν φίλαν	-u -u- u-	lyric	
ἄνδρες ἀμφὶ θαμὰ τράπεζαν. ἀλλὰ Δωρίαν ἀπὸ φόρμιγγα πασσάλου	-u -u uu u-u -u -u- uu --u -u-	lyric	
λάμβανʼ, εἴ τί τοι Πίσας τε καὶ Φερενίκου χάρις	-u - u - u- u - uu-- u-	lyric	
νόον ὑπὸ γλυκυτάταις ἔθηκε φροντίσιν,	uu uu uuu- u-u -u-	lyric	
ὅτε παρʼ Ἀλφεῷ σύτο, δέμας	uu u -u- uu u-	lyric	
ἀκέντητον ἐν δρόμοισι παρέχων,	u--u - u-u uu-	lyric	
κράτει δὲ προσέμιξε δεσπόταν,	u- u uu-u -u-	lyric	
Συρακόσιον ἱπποχάρμαν βασιλῆα. λάμπει δέ οἱ κλέος	u-uuu -u-- uu-u -- u - u-	lyric	
ἐν εὐάνορι Λυδοῦ Πέλοπος ἀποικίᾳ·	u --uu -- uuu u-u-	lyric	
τοῦ μεγασθενὴς ἐράσσατο γαιάοχος	- u-u- u-uu --u-	lyric	
Ποσειδᾶν, ἐπεί νιν καθαροῦ λέβητος ἔξελε Κλωθὼ	u-- u- - uu- u-u -uu --	lyric	
ἐλέφαντι φαίδιμον ὦμον κεκαδμένον.	uu-u -uu -- u-u-	lyric	
ἦ θαυματὰ πολλά, καί πού τι καὶ βροτῶν	- -uu -u - - u - u-	lyric	
φάτις ὑπὲρ τὸν ἀλαθῆ λόγον	uu u- u u-- u-	lyric	
δεδαιδαλμένοι ψεύδεσι ποικίλοις ἐξαπατῶντι μῦθοι	u--u- -uu -u- -uu-u --	lyric	
Χάρις δ᾽,ἅπερ ἅπαντα τεύχει τὰ μείλιχα θνατοῖς,	u- -u u-u -- u -uu --	lyric	
ἐπιφέροισα τιμὰν καὶ ἄπιστον ἐμήσατο πιστὸν	uuu-u -- u u-u u-uu --	lyric	
ἔμμεναι τὸ πολλάκις·	-u- u -u-	lyric	
ἁμέραι δ᾽ἐπίλοιποι	-u- uu--	lyric	
μάρτυρες σοφώτατοι.	-u- u-u-	lyric	
ἔστι δ᾽ἀνδρὶ φάμεν ἐοικὸς ἀμφὶ δαιμόνων καλά· μείων γὰρ αἰτία.	-u -u uu u-u -u -u- uu -- u -u-	lyric	
υἱὲ Ταντάλου, σὲ δ᾽,ἀντία προτέρων, φθέγξομαι,	-u -u- u -u- uu- -u-	lyric	
ὁπότʼ ἐκάλεσε πατὴρ τὸν εὐνομώτατον	uu uuuu u- u -u-u-	lyric	
ἐς ἔρανον φίλαν τε Σίπυλον,	u uu- u- u uu-	lyric	
ἀμοιβαῖα θεοῖσι δεῖπνα παρέχων,	u--u -u -u uu-	lyric	
τότʼ Ἀγλαοτρίαιναν ἁρπάσαι	u -uuu-u -u-	lyric	
δαμέντα φρένας ἱμέρῳ χρυσέαισί τ᾽ἀνʼ ἵπποις	u-- uu -u- -u-u u --	lyric	
ὕπατον εὐρυτίμου ποτὶ δῶμα Διὸς μεταβᾶσαι,	uuu -u-- uu -u u- uu--	lyric	
