σοί, μάκαρ, ἀείδω, γαίης ἐρικυδὲς ἔρεισμα,	- uu --- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
φέγγος ἐνυαλίων πολυήρατον Αἰνεαδάων,	-u u-uu- uu-uu -uu--	dactylic hexameter	masculine penthemimeral
Αὐσονίου Ζηνὸς γλυκερὸν θάλος, Ἀντωνῖνε·	-uu- -- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τὸν μεγάλη μεγάλῳ φιτύσατο Δόμνα Σεβήρῳ,	- uu- uu- --uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὀλβίῳ εὐνηθεῖσα καὶ ὄλβιον ὠδίνασα,	-uu ---u u -uu -u--	lyric	
νύμφη ἀριστοπόσεια, λεχὼ δέ τε καλλιτόκεια,	-u u-uu-u u- u u -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
Ἀσσυρίη Κυθέρεια καὶ οὐ λείπουσα Σελήνη,	-uu- uu-u u - --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὐδὲν ἀφαυρότερον Ζηνὸς Κρονίδαο γενέθλης·	-u u-uu- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
"εὐμενέοι Τιτὰν Φαέθων καὶ Φοῖβος Ἀπόλλων."	-uu- -- uu- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τῷ ῥα πατὴρ μεγάλῃσι πονησάμενος παλάμῃσι	- u u- uu-u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
δῶκεν ἔχειν πᾶσαν τραφερήν, πᾶσαν δὲ καὶ ὑγρήν.	-u u- -- uu- -- u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
σοὶ μὲν γὰρ θαλέθουσα κύει πάνδωρος ἄρουρα,	- - - uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ πάλιν εὐδιόωσα τρέφει κλυτὰ φῦλα θάλασσα·	- uu -uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
σοὶ δέ τε πάντα νάουσιν ἀπ᾽ Ὠκεανοῖο ῥέεθρα,	- u u -u u-u u -uu-u u--	dactylic hexameter	feminine penthemimeral
φαιδρά τε μειδιόωσα θέει κλυτὸς Ἠριγένεια.	-u u -uu-u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
τοιγὰρ ἐγὼν ἔραμαι θήρης κλυτὰ δήνἐ ἀεῖσαι.	-u u- uu- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τοῦτό με Καλλιόπη κέλεται, τοῦτ᾽ Ἄρτεμις αὐτή.	-u u -uu- uu- - -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔκλυον, ᾗ θέμις ἐστί, θεείης ἔκλυον ἠχῆς,	-uu - uu -u u-- -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ θεὸν ἠμείφθην· πρώτη δέ με τοιάδ᾽ ἔνισπεν·	- uu --- -- u u -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔγρεο, καὶ τρηχεῖαν ἐπιστείβωμεν ἀταρπόν,	-uu - --u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τὴν μερόπων οὔπω τις ἑῇς ἐπάτησεν ἀοιδαῖς.	- uu- -- u u- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἵλαθι, πότνια δῖα, τὰ δ᾽ἐν φρεσὶ σῇσι μενοινᾷς,	-uu -uu -u u - uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἄμμες ὑφ᾽ ἡμετέρῃ μεροπηΐδι λέξομεν ἠχῇ.	-u u -uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
οὐκ ἐθέλω τριετῆ σε τὰ νῦν Ὀρίβακχον ἀείδειν,	- uu- uu- u u - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐ χορὸν Ἀονίου παρὰ βένθεσιν Ἀσωποῖο.	- uu -uu- uu -uu ----	dactylic hexameter	masculine penthemimeral
Λείψομεν, ὡς κέλεαι, τὰ Σαβάζια νύκτερα θύσθλα·	-uu - uu- u u-uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
δηθάκις ἀμφεχόρευσα Θυωναίῳ Διονύσῳ.	-uu -uu-u u--- uu--	dactylic hexameter	feminine penthemimeral
μὴ γένος ἡρώων εἴπῃς, μὴ ναυτίλον Ἀργώ,	- uu --- -- - -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
μηδὲ μόθους μερόπων, μή μοι Βροτολοιγὸν ἀείσῃς.	-u u- uu- - - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐκ ἐρέω πολέμους, οὐκ Ἄρεος ἔργα κάκιστα·	- uu- uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἐφρασάμην Πάρθων τε δύας καὶ Κτησιφόωντα.	-uu- -- u u- - -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀμφὶ πόθοις ὀλοοῖσιν ἀκὴν ἔχε, λεῖπέ τε κεστούς·	-u u- uu-u u- uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἐχθαίρω τὰ λέγουσιν ἀθύρματα Ποντογενείης.	--- u u-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
Ἐκλύομέν σε, μάκαιρα, γάμων ἀμύητον ἐοῦσαν.	-uu- u u-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
μέλπε μόθους θηρῶν τε καὶ ἀνδρῶν ἀγρευτήρων·	-u u- -- u u -- ----	dactylic hexameter	masculine penthemimeral, trithemimeral
μέλπε γένη σκυλάκων τε καὶ ἵππων αἰόλα φῦλα,	-u u- uu- u u -- -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
βουλὰς ὠκυνόους, στιβίης ἐϋκερδέος ἔργα·	-- -uu- uu- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔχθεά μοι θήρεια λέγειν, φιλότητας ἀείδειν	-uu - --u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καὶ θαλάμους ἐν ὄρεσσιν ἀδακρύτοιο Κυθείρης	- uu- u u-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ τοκετοὺς ἐνὶ θηρσὶν ἀμαιεύτοιο λοχείης.	- uu- uu -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τοῖαι συνθεσίαι Ζηνὸς μεγάλοιο θυγατρός.	-- -uu- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔκλυον, ἀείδω· βάλλοιμι δ᾽ἐπίσκοπον ἠχήν.	-uu --- --u u-uu --	dactylic hexameter	masculine penthemimeral
ἄλλὰ σύ γ᾽,ἀντολίηθεν ἐπ᾽ Ὠκεανὸν βασιλεύων,	-u u -uu-u u -uu- uu--	dactylic hexameter	feminine penthemimeral
εὔδιον ἀμβροσίῃσιν ὑπ᾽ ὀφρύσι σῇσι γεγηθώς,	-uu -uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
δεξιτερὴν ὀπάσαιο πανίλαον ὀλβοδότειραν	-uu- uu-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
γαίῃ καὶ πολίεσσι καὶ εὐθήροισιν ἀοιδαῖς.	-- - uu-u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
Τριχθαδίην θήρην θεὸς ὤπασεν ἀνθρώποισιν,	-uu- -- uu -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ἠερίην χθονίην τε καὶ εἰναλίην ἐρατεινήν·	-uu- uu- u u -uu- uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀλλ᾽ οὐκ ἶσος ἄεθλος· ἐπεὶ πόθεν ἶσα τέτυκται,	- - -u u-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
