ἔθνεά τοι πόντοιο πολυσπερέας τε φάλαγγας	-uu - --u u-uu- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
παντοίων νεπόδων, πλωτὸν γένος Ἀμφιτρίτης,	--- uu- -- uu -u--	lyric	
ἐξερέω, γαίης ὕπατον κράτος, Ἀντωνῖνε·	-uu- -- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὅσσα τε κυματόεσσαν ἔχει χύσιν, ᾗχί θ᾽ἕκαστα	-u u -uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἐννέμεται, διερούς τε γάμους διεράς τε γενέθλας	-uu- uu- u u- uu- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
καὶ βίον ἰχθυόεντα καὶ ἔχθεα καὶ φιλότητας	- uu -uu-u u -uu - uu--	dactylic hexameter	feminine penthemimeral
καὶ βουλάς, ἁλίης τε πολύτροπα δήνεα τέχνης	- -- uu- u u-uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
κερδαλέης, ὅσα φῶτες ἐπ᾽ ἰχθύσι μητίσαντο	-uu- uu -u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀφράστοις· ἀΐδηλον ἐπιπλώουσι θάλασσαν	--- uu-u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τολμηρῇ κραδίῃ, κατὰ δ᾽ἔδρακον οὐκ ἐπίοπτα	--- uu- uu -uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
βένθεα καὶ τέχνῃσιν ἁλὸς διὰ μέτρα δάσαντο	-uu - --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
δαιμόνιοι. χλούνην μὲν ὀρίτροφον ἠδὲ καὶ ἄρκτον	-uu- -- u u-uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
θηρητὴρ ὁράᾳ τε καὶ ἀντιόωντα δοκεύει	--- uu- u u -uu-u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀμφαδίην, ἕκαθέν τε βαλεῖν σχεδόθεν τε δαμάσσαι·	-uu- uu- u u- uu- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἄμφω δ᾽ἀσφαλέως γαίης ἔπι θήρ τε καὶ ἀνὴρ	-- -uu- -- uu - u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral
μάρνανται, σκύλακες δὲ συνέμποροι ἡγεμονῆες	--- uu- u u-uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
κνώδαλα σημαίνουσι καὶ ἰθύνουσιν ἄνακτας	-uu ---u u ---u u--	dactylic hexameter	feminine penthemimeral
εὐνὴν εἰς αὐτὴν καὶ ἀρηγόνες ἐγγὺς ἕπονται.	-- - -- u u-uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
οὐδ᾽ ἄρα τοῖς οὐ χεῖμα τόσον δέος, οὐ μὲν ὀπώρη	- uu - - -u u- uu - u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
φλέγμα φέρει· πολλαὶ γὰρ ἐπακτήρων ἀλεωραὶ	-u u- -- u u--- uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
λόχμαι τε σκιεραὶ καὶ δειράδες ἄντρα τε πέτρης	-- - uu- - -uu -u u --	dactylic hexameter	masculine penthemimeral, trithemimeral
αὐτορόφου· πολλοὶ δὲ τιταινόμενοι κατ᾽ ὄρεσφιν	-uu- -- u u-uu- u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀργύρεοι ποταμοί, δίψης ἄκος ἠδὲ λοετρῶν	-uu- uu- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀέναοι ταμίαι· παρὰ δὲ χλοάουσι ῥέεθροις	-uu- uu- uu - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ποῖαί τε χθαμαλαί, μαλακὴ κλίσις ὕπνον ἑλέσθαι	-- - uu- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
εὔδιον ἐκ καμάτοιο, καὶ ὥρια δόρπα πάσασθαι	-uu - uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὕλης ἀγρονόμοιο, τά τ᾽οὔρεσι πολλὰ φύονται.	-- -uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral
τερπωλὴ δ᾽ἕπεται θήρῃ πλέον ἠέ περ ἱδρώς.	--- uu- -- uu -u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὅσσοι δ᾽οἰωνοῖσιν ἐφοπλίζονται ὄλεθρον,	-- ---u u---u u--	dactylic hexameter	feminine penthemimeral
ῥηϊδίη καὶ τοῖσι πέλει καὶ ὑπόψιος ἄγρη·	-uu- - -u u- u u-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τοὺς μὲν γὰρ κνώσσοντας ἐληΐσσαντο καλιῆς	- - - --u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
κρύβδην· τοὺς δὲ δόναξιν ὑπέσπασαν ἰξοφόροισιν·	-- - u u-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
οἱ δὲ τανυπλέκτοισιν ἐν ἕρκεσιν ἤριπον αὐτοὶ	- u u---u u -uu -uu --	dactylic hexameter	feminine penthemimeral
εὐνῆς χρηΐζοντες, ἀτερπέα δ᾽αὖλιν ἔκυρσαν.	-- ---u u-uu -u u--	dactylic hexameter	feminine penthemimeral
τλησιπόνοις δ᾽ἁλιεῦσιν ἀτέκμαρτοι μὲν ἄεθλοι,	-uu- uu-u u--- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἐλπὶς δ᾽οὐ σταθερὴ σαίνει φρένας ἠΰτ᾽ ὄνειρος·	-- - uu- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐ γὰρ ἀκινήτου γαίης ὕπερ ἀθλεύουσιν,	- u u--- -- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλλ᾽ αἰεὶ κρυερῷ τε καὶ ἄσχετα μαργαίνοντι	- -- uu- u u -uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ὕδατι συμφορέονται, ὃ καὶ γαίηθεν ἰδέσθαι	-uu -uu-u u - --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
δεῖμα φέρει καὶ μοῦνον ἐν ὄμμασι πειρήσασθαι·	-u u- - -u u -uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
δούρασι δ᾽ἐν βαιοῖσιν ἀελλάων θεράποντες	-uu - --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
πλαζόμενοι, καὶ θυμὸν ἐν οἴδμασιν αἰὲν ἔχοντες,	-uu- - -u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
αἰεὶ μὲν νεφέλην ἰοειδέα παπταίνουσιν,	-- - uu- uu-uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
αἰεὶ δὲ τρομέουσι μελαινόμενον πόρον ἅλμης·	-- - uu-u u-uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐδέ τι φοιταλέων ἀνέμων σκέπας, οὐδέ τιν᾽ ὄμβρων	-u u -uu- uu- uu -u u --	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλκήν, οὐ πυρὸς ἄλκαρ ὀπωρινοῖο φέρονται.	-- - uu -u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
πρὸς δ᾽ἔτι καὶ βλοσυρῆς δυσδερκέα δείματα λίμνης	- uu - uu- --uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
κήτεα πεφρίκασι, τά τε σφίσιν ἀντιόωσιν,	-uu -uu- - - uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
εὖτ᾽ ἂν ὑποβρυχίης ἄδυτον περόωσι θαλάσσης·	- u u-uu- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
οὐ μέν τις σκυλάκων ἁλίην ὁδὸν ἡγεμονεύει	- - - uu- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἰχθυβόλοις· ἴχνη γὰρ ἀείδελα νηχομένοισιν·	-uu- -- u u-uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
οὐδ᾽ οἵ γ᾽εἰσορόωσιν ὅπῃ σχεδὸν ἵξεται ἄγρης	- - -uu-u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀντιάσας, οὐ γάρ τι μίην ὁδὸν ἔρχεται, ἰχθύς·	-uu- - - u u- uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
θριξὶ δ᾽ἐν ἠπεδανοῖσι παλιγνάμπτοιό τε χαλκοῦ	-u u -uu-u u---u u --	dactylic hexameter	feminine penthemimeral
χείλεσι καὶ δονάκεσσι λίνοισί τε κάρτος ἔχουσιν.	-uu - uu-u u-u u -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐ μὴν τερπωλῆς ἀπολείπεαι, αἴ κ᾽ἐθέλῃσθα	- - --- uu-uu - uu--	dactylic hexameter	masculine penthemimeral
τέρπεσθαι, γλυκερὴ δὲ πέλει βασιλήϊος ἄγρη.	--- uu- u u- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
