Τάδε μὲν Περσῶν τῶν οἰχομένων	uu - -- - -uu-	anapaestic	
Ἑλλάδʼ ἐς αἶαν πιστὰ καλεῖται,	-u u -- -u u--	anapaestic	
καὶ τῶν ἀφνεῶν καὶ πολυχρύσων	- - uu- - uu--	anapaestic	
ἑδράνων φύλακες, κατὰ πρεσβείαν	uu- uu- uu ---	anapaestic	
οὓς αὐτὸς ἄναξ Ξέρξης βασιλεὺς	- -u u- -- uu-	anapaestic	
Δαρειογενὴς	--uu-	anapaestic	
εἵλετο χώρας ἐφορεύειν.	-uu -- uu--	lyric	
ἀμφὶ δὲ νόστῳ τῷ βασιλείῳ	-u u -- - uu--	anapaestic	
καὶ πολυχρύσου στρατιᾶς ἤδη	- uu-- uu- --	anapaestic	
κακόμαντις ἄγαν ὀρσολοπεῖται	uu-u u- -uu--	anapaestic	
θυμὸς ἔσωθεν.	-u u--	anapaestic	
πᾶσα γὰρ ἰσχὺς Ἀσιατογενὴς	-u u -- uu-uu-	anapaestic	
ᾤχωκε, νέον δʼ ἄνδρα βαΰζει,	--u u- -u u--	anapaestic	
κοὔτε τις ἄγγελος οὔτε τις ἱππεὺς	-u u -uu -u u --	anapaestic	
ἄστυ τὸ Περσῶν ἀφικνεῖται·	-u u -- uu--	lyric	
οἵτε τὸ Σούσων ἠδʼ Ἀγβατάνων	-u u -- - -uu-	anapaestic	
καὶ τὸ παλαιὸν Κίσσιον ἕρκος	- u u-- -uu --	anapaestic	
προλιπόντες ἔβαν, τοὶ μὲν ἐφʼ ἵππων.	uu-u u- - u u --	anapaestic	
τοὶ δʼ ἐπὶ ναῶν, πεζοί τε βάδην	- uu -- -- u u-	anapaestic	
πολέμου στῖφος παρέχοντες·	uu- -- uu--	lyric	
οἷος Ἀμίστρης ἠδʼ Ἀρταφρένης	-u u-- - -uu-	anapaestic	
καὶ Μεγαβάτης ἠδʼ Ἀστάσπης,	- uu-- - ---	anapaestic	
ταγοὶ Περσῶν,	-- --	anapaestic	
βασιλῆς βασιλέως ὕποχοι μεγάλου,	uu- uu- uu- uu-	anapaestic	
σοῦνται, στρατιᾶς πολλῆς ἔφοροι,	-- uu- -- uu-	anapaestic	
τοξοδάμαντές τʼ ἠδʼ ἱπποβάται,	-uu-- - -uu-	anapaestic	
φοβεροὶ μὲν ἰδεῖν, δεινοὶ δὲ μάχην	uu- u u- -- u u-	anapaestic	
ψυχῆς εὐτλήμονι δόξῃ·	-- --uu --	lyric	
Ἀρτεμβάρης θʼ ἱππιοχάρμης	---- -uu--	anapaestic	
καὶ Μασίστρης, ὅ τε τοξοδάμας	- --- u u -uu-	anapaestic	
ἐσθλὸς Ἰμαῖος, Φαρανδάκης θʼ,	-u u-- ----	anapaestic	
ἵππων τʼ ἐλατὴρ Σοσθάνης.	-- uu- ---	lyric	
ἄλλους δʼ ὁ μέγας καὶ πολυθρέμμων	-- u u- - uu--	anapaestic	
Νεῖλος ἔπεμψεν· Σουσισκάνης,	-u u-- ----	anapaestic	
Πηγασταγὼν Αἰγυπτογενής,	---- --uu-	anapaestic	
ὅ τε τῆς ἱερᾶς Μέμφιδος ἄρχων	u u - uu- -uu --	anapaestic	
μέγας Ἀρσάμης, τάς τʼ ὠγυγίους	uu --- - -uu-	anapaestic	
Θήβας ἐφέπων Ἀριόμαρδος,	-- uu- -uu--	anapaestic	
καὶ ἑλειοβάται ναῶν ἐρέται	u u-uu- -- uu-	anapaestic	
δεινοὶ πλῆθός τʼ ἀνάριθμοι.	-- -- uu--	lyric	
ἁβροδιαίτων δʼ ἕπεται Λυδῶν	-uu-- uu- --	anapaestic	
ὄχλος, οἵ τʼ ἐπίπαν ἠπειρογενὲς	uu - uu- --uu-	anapaestic	
κατέχουσιν ἔθνος, τοὺς Μητρογαθὴς	uu-u u- - -uu-	anapaestic	
Ἀρκτεύς τʼ ἀγαθός, βασιλῆς δίοποι,	-- uu- uu- uu-	anapaestic	
καὶ πολύχρυσοι Σάρδεις ἐπόχους	- uu-- -- uu-	anapaestic	
πολλοῖς ἅρμασιν ἐξορμῶσιν,	-- -uu ----	anapaestic	
δίρρυμά τε καὶ τρίρρυμα τέλη,	--u u - --u u-	anapaestic	
φοβερὰν ὄψιν προσιδέσθαι.	uu- -- uu--	lyric	
