Χθονὸς μὲν ἐς τηλουρὸν ἥκομεν πέδον,	u- u - --u -u- u-	iambic trimeter (tragic)	
Σκύθην ἐς οἷμον, ἄβατον εἰς ἐρημίαν.	u- u -u uuu - u-u-	lyric	
Ἥφαιστε, σοὶ δὲ χρὴ μέλειν ἐπιστολὰς	--u - u - u- u-u-	iambic trimeter (tragic)	
ἅς σοι πατὴρ ἐφεῖτο, τόνδε πρὸς πέτραις	- - u- u-u -u - u-	iambic trimeter (tragic)	
ὑψηλοκρήμνοις τὸν λεωργὸν ὀχμάσαι	--u-- - u-u -u-	iambic trimeter (tragic)	
ἀδαμαντίνων δεσμῶν ἐν ἀρρήκτοις πέδαις.	uu-u- -- u --- u-	iambic trimeter (tragic)	
τὸ σὸν γὰρ ἄνθος, παντέχνου πυρὸς σέλας,	u - u -- -u- u- u-	iambic trimeter (tragic)	
θνητοῖσι κλέψας ὤπασεν. τοιᾶσδέ τοι	--u -u -u- --u -	iambic trimeter (tragic)	
ἁμαρτίας σφε δεῖ θεοῖς δοῦναι δίκην,	u-u- u - u- -- u-	iambic trimeter (tragic)	
ὡς ἂν διδαχθῇ τὴν Διὸς τυραννίδα	- - u-- - u- u-u-	iambic trimeter (tragic)	
στέργειν, φιλανθρώπου δὲ παύεσθαι τρόπου.	-- u--- u --- u-	iambic trimeter (tragic)	
Κράτος Βία τε, σφῷν μὲν ἐντολὴ Διὸς	u- u- - - u -u- u-	iambic trimeter (tragic)	
ἔχει τέλος δὴ κοὐδὲν ἐμποδὼν ἔτι·	u- u- - -u -u- u-	iambic trimeter (tragic)	
ἐγὼ δʼἄτολμός εἰμι συγγενῆ θεὸν	u- u-u -u -u- u-	iambic trimeter (tragic)	
δῆσαι βίᾳ φάραγγι πρὸς δυσχειμέρῳ.	-- u- u-u - --u-	iambic trimeter (tragic)	
πάντως δʼἀνάγκη τῶνδέ μοι τόλμαν σχεθεῖν·	-- u-- -u - -- u-	iambic trimeter (tragic)	
ἐξωριάζειν γὰρ πατρὸς λόγους βαρύ.	--u-- - u- u- u-	iambic trimeter (tragic)	
τῆς ὀρθοβούλου Θέμιδος αἰπυμῆτα παῖ,	- -u-- uuu -u-u -	lyric	
ἄκοντά σʼἄκων δυσλύτοις χαλκεύμασι	--u -- -u- --u-	iambic trimeter (tragic)	
προσπασσαλεύσω τῷδʼ ἀπανθρώπῳ πάγῳ	--u-- - u--- u-	iambic trimeter (tragic)	
ἵνʼ οὔτε φωνὴν οὔτε του μορφὴν βροτῶν	u -u -- -u - -- u-	iambic trimeter (tragic)	
ὄψει, σταθευτὸς δʼἡλίου φοίβῃ φλογὶ	-- u-- -u- -- u-	iambic trimeter (tragic)	
χροιᾶς ἀμείψεις ἄνθος. ἀσμένῳ δέ σοι	-- u-- -u -u- u -	iambic trimeter (tragic)	
ἡ ποικιλείμων νὺξ ἀποκρύψει φάος,	- -u-- - u--- u-	iambic trimeter (tragic)	
πάχνην θʼἑῴαν ἥλιος σκεδᾷ πάλιν·	-- u-u -u- u- u-	iambic trimeter (tragic)	
ἀεὶ δὲ τοῦ παρόντος ἀχθηδὼν κακοῦ	u- u - u-u --- u-	iambic trimeter (tragic)	
τρύσει σʼ·ὁ λωφήσων γὰρ οὐ πέφυκέ πω.	-- u --- u - u-u -	iambic trimeter (tragic)	
τοιαῦτʼ ἐπηύρω τοῦ φιλανθρώπου τρόπου.	-- u-- - u--- u-	iambic trimeter (tragic)	
θεὸς θεῶν γὰρ οὐχ ὑποπτήσσων χόλον	u- u- u - u--- u-	iambic trimeter (tragic)	
βροτοῖσι τιμὰς ὤπασας πέρα δίκης.	u-u -- -u- u- u-	iambic trimeter (tragic)	
ἀνθʼ ὧν ἀτερπῆ τήνδε φρουρήσεις πέτραν	- - u-- -u --- u-	iambic trimeter (tragic)	
ὀρθοστάδην, ἄυπνος, οὐ κάμπτων γόνυ·	--u- u-u - -- u-	iambic trimeter (tragic)	
πολλοὺς δʼὀδυρμοὺς καὶ γόους ἀνωφελεῖς	-- u-- - u- u-u-	iambic trimeter (tragic)	
φθέγξῃ· Διὸς γὰρ δυσπαραίτητοι φρένες.	-- u- - -u--- u-	iambic trimeter (tragic)	
ἅπας δὲ τραχὺς ὅστις ἂν νέον κρατῇ.	u- u -u -u - u- u-	iambic trimeter (tragic)	
εἶεν, τί μέλλεις καὶ κατοικτίζῃ μάτην;	-- u -- - u--- u-	iambic trimeter (tragic)	
τί τὸν θεοῖς ἔχθιστον οὐ στυγεῖς θεόν,	u - u- --u - u- u-	iambic trimeter (tragic)	
ὅστις τὸ σὸν θνητοῖσι προὔδωκεν γέρας;	-- u - --u --- u-	iambic trimeter (tragic)	
τὸ συγγενές τοι δεινὸν ἥ θʼὁμιλία.	u -u- - -u - u-u-	iambic trimeter (tragic)	
σύμφημʼ· ἀνηκουστεῖν δὲ τῶν πατρὸς λόγων	-- u--- u - u- u-	iambic trimeter (tragic)	
οἷόν τε πῶς; οὐ τοῦτο δειμαίνεις πλέον;	-- u - - -u --- u-	iambic trimeter (tragic)	
αἰεί γε δὴ νηλὴς σὺ καὶ θράσους πλέως.	-- u - -- u - u- u-	iambic trimeter (tragic)	
ἄκος γὰρ οὐδὲν τόνδε θρηνεῖσθαι. σὺ δὲ	u- u -- -u --- u -	iambic trimeter (tragic)	
τὰ μηδὲν ὠφελοῦντα μὴ πόνει μάτην.	u -u -u-u - u- u-	iambic trimeter (tragic)	
ὦ πολλὰ μισηθεῖσα χειρωναξία.	- -u ---u ---u-	iambic trimeter (tragic)	
τί νιν στυγεῖς; πόνων γὰρ ὡς ἁπλῷ λόγῳ	u - u- u- u - u- u-	iambic trimeter (tragic)	
τῶν νῦν παρόντων οὐδὲν αἰτία τέχνη.	- - u-- -u -u- u-	iambic trimeter (tragic)	
ἔμπας τις αὐτὴν ἄλλος ὤφελεν λαχεῖν.	-- u -- -u -u- u-	iambic trimeter (tragic)	
ἅπαντʼ ἐπαχθῆ πλὴν θεοῖσι κοιρανεῖν·	u- u-- - u-u -u-	iambic trimeter (tragic)	
ἐλεύθερος γὰρ οὔτις ἐστὶ πλὴν Διός.	u-u- u -u -u - u-	iambic trimeter (tragic)	
ἔγνωκα τοῖσδε κοὐδὲν ἀντειπεῖν ἔχω.	--u -u -u --- u-	iambic trimeter (tragic)	
οὔκουν ἐπείξῃ τῷδε δεσμὰ περιβαλεῖν,	-- u-- -u -u uuu-	lyric	
ὡς μή σʼἐλινύοντα προσδερχθῇ πατήρ;	- - u-u-u --- u-	iambic trimeter (tragic)	
καὶ δὴ πρόχειρα ψάλια δέρκεσθαι πάρα.	- - u-- uuu --- u-	lyric	
βαλών νιν ἀμφὶ χερσὶν ἐγκρατεῖ σθένει	u- u -u -u -u- u-	iambic trimeter (tragic)	
ῥαιστῆρι θεῖνε, πασσάλευε πρὸς πέτραις.	--u -u -u-u - u-	iambic trimeter (tragic)	
