χρυσέα φόρμιγξ, Ἀπόλλωνος καὶ ἰοπλοκάμων	-u- -- u--- u u-uu-	lyric	
σύνδικον Μοισᾶν κτέανον· τᾶς ἀκούει μὲν βάσις, ἀγλαΐας ἀρχά,	-u- -- uu- - u-- - uu -uu- --	lyric	
πείθονται δ᾽ἀοιδοὶ σάμασιν,	--- u-- -u-	lyric	
ἁγησιχόρων ὁπόταν προοιμίων ἀμβολὰς τεύχῃς ἐλελιζομένα.	--uu- uu- u-u- -u- -- uu-uu-	lyric	
καὶ τὸν αἰχματὰν κεραυνὸν σβεννύεις	- u --- u-- -u-	lyric	
ἀενάου πυρός. εὕδει δ᾽ἀνὰ σκάπτῳ Διὸς αἰετός, ὠκεῖαν πτέρυγʼ ἀμφοτέρωθεν χαλάξαις,	-uu- uu -- u- -- uu -uu --- uu -uu-- u--	lyric	
ἀρχὸς οἰωνῶν, κελαινῶπιν δ᾽ἐπί οἱ νεφέλαν	-u --- u--- uu - uu-	lyric	
ἀγκύλῳ κρατί, γλεφάρων ἁδὺ κλαΐστρον, κατέχευας· ὁ δὲ κνώσσων	-u- -- uu- -u --- uu-u u - --	lyric	
ὑγρὸν νῶτον αἰωρεῖ, τεαῖς	-- -u --- u-	lyric	
ῥιπαῖσι κατασχόμενος. καὶ γὰρ βιατὰς Ἄρης, τραχεῖαν ἄνευθε λιπὼν	--u u-uu- - - u-- u- --u u-u u-	lyric	
ἐγχέων ἀκμάν, ἰαίνει καρδίαν	-u- -- u-- -u-	lyric	
κώματι, κῆλα δὲ καὶ δαιμόνων θέλγει φρένας, ἀμφί τε Λατοίδα σοφίᾳ βαθυκόλπων τε Μοισᾶν.	-uu -u u - -u- -- uu -u u --- uu- uu-- u --	lyric	
ὅσσα δὲ μὴ πεφίληκε Ζεύς, ἀτύζονται βοὰν	-u u - uu-- - u--- u-	lyric	
Πιερίδων ἀΐοντα, γᾶν τε καὶ πόντον κατʼ ἀμαιμάκετον,	-uu- uu-u - u - -- u u-uu-	lyric	
ὅς τ᾽ἐν αἰνᾷ Ταρτάρῳ κεῖται, θεῶν πολέμιος,	- u -- -u- -- u- uuu-	lyric	
Τυφὼς ἑκατοντακάρανος· τόν ποτε	-- uu-uu-- - u-	lyric	
Κιλίκιον θρέψεν πολυώνυμον ἄντρον· νῦν γε μὰν	uuu- -- uu-uu -- - u -	lyric	
ταί θ᾽ὑπὲρ Κύμας ἁλιερκέες ὄχθαι	- u- -- uu-uu --	lyric	
