ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν	- -- uu-u u- - -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἤλυθεν ἐς Θήβας μετʼ ἀρήιον Ἀμφιτρύωνα	-uu - -- u u-uu -uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτύωνος·	--- uu- --uu ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ἥ ῥα γυναικῶν φῦλον ἐκαίνυτο θηλυτεράων	- u u-- -u u-uu -uu--	dactylic hexameter	feminine penthemimeral
εἴδεΐ τε μεγέθει τε· νόον γε μὲν οὔ τις ἔριζε	-uu - uu- u u- u u - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τάων, ἃς θνηταὶ θνητοῖς τέκον εὐνηθεῖσαι.	-- - -- -- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τῆς καὶ ἀπὸ κρῆθεν βλεφάρων τ᾽ἄπο κυανεάων	- u u- -- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τοῖον ἄηθʼ οἶόν τε πολυχρύσου Ἀφροδίτης.	-u u- -- u u-uu -u--	lyric	
ἣ δὲ καὶ ὣς κατὰ θυμὸν ἑὸν τίεσκεν ἀκοίτην,	- u u - uu -u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ὡς οὔ πώ τις ἔτισε γυναικῶν θηλυτεράων·	- - - u u-u u-- -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἦ μέν οἱ πατέρʼ ἐσθλὸν ἀπέκτανε ἶφι δαμάσσας,	- - - uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
χωσάμενος περὶ βουσί· λιπὼν δ᾽ὅ γε πατρίδα γαῖαν	-uu- uu -u u- u u -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἐς Θήβας ἱκέτευσε φερεσσακέας Καδμείους.	- -- uu-u u-uu- ---	dactylic hexameter	feminine penthemimeral, trithemimeral
ἔνθʼ ὅ γε δώματʼ ἔναιε σὺν αἰδοίῃ παρακοίτι	- u u -u u-u u --- uu--	dactylic hexameter	feminine penthemimeral
νόσφιν ἄτερ φιλότητος ἐφιμέρου, οὐδέ οἱ ἦεν	-u u- uu-u u-uu -u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
πρὶν λεχέων ἐπιβῆναι ἐυσφύρου Ἠλεκτρυώνης,	- uu- uu-u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
πρίν γε φόνον τίσαιτο κασιγνήτων μεγαθύμων	- u u- --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἧς ἀλόχου, μαλερῷ δὲ καταφλέξαι πυρὶ κώμας	- uu- uu- u u--- uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀνδρῶν ἡρώων Ταφίων ἰδὲ Τηλεβοάων.	-- --- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
τὼς γάρ οἱ διέκειτο, θεοὶ δ᾽ἐπὶ μάρτυροι ἦσαν·	- - - uu-u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τῶν ὅ γ᾽ὀπίζετο μῆνιν, ἐπείγετο δ᾽ὅττι τάχιστα	- u u-uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral
ἐκτελέσαι μέγα ἔργον, ὅ οἱ Διόθεν θέμις ἦεν.	-uu- uu -u u - uu- uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τῷ δ᾽ἅμα ἱέμενοι πολέμοιό τε φυλόπιδός τε	- uu -uu- uu-u u -uu- -	dactylic hexameter	masculine penthemimeral
