ὦ παῖ, τέλος μὲν Ζεὺς ἔχει βαρύκτυπος	- - u- - - u- u-u-	iambic trimeter (tragic)	
πάντων ὅσ᾽ ἔστι, καὶ τίθησ᾽ ὅκῃ θέλει·	-- u -u - u- u- u-	iambic trimeter (tragic)	
νόος δ᾽οὐκ ἐπ᾽ ἀνθρώποισιν, ἀλλ᾽ ἐπήμεροι	- - u ---u - u-u-	iambic trimeter (tragic)	
ᾗ δὴ βοτὰ ζόωμεν, οὐδὲν εἰδότες	- - u- u-u -u -u-	iambic trimeter (tragic)	
ὅκως ἕκαστον ἐκτελευτήσει θεός.	u- u-u -u--- u-	iambic trimeter (tragic)	
ἐλπὶς δὲ πάντας κἀπιπειθείη τρέφει	-- u -- -u--- u-	iambic trimeter (tragic)	
ἄπρηκτον ὁρμαίνοντας· οἱ μὲν ἡμέρην	u-u ---u - u -u-	iambic trimeter (tragic)	
μένουσιν ἐλθεῖν, οἱ δ᾽ἐτέων περιτροπάς.	u-u -- - u- u-u-	iambic trimeter (tragic)	
νέωτα δ᾽οὐδεὶς ὅστις οὐ δοκεῖ βροτῶν	u-u -- -u - u- u-	iambic trimeter (tragic)	
πλούτῳ τε κἀγαθοῖσιν ἵξεσθαι πτίλος.	-- u -u-u --- u-	iambic trimeter (tragic)	
φθάνει δὲ τὸν μὲν γῆρας ἄζηλον λαβόν,	u- u - - -u --- u-	iambic trimeter (tragic)	
πρὶν τέρμ᾽ ἵκηται· τοῖς δὲ δύστηνοι νόσοι	- - u-- - u --- u-	iambic trimeter (tragic)	
φθείρουσι θυμόν· τοὺς δ᾽Ἄρει δεδμημένους	--u -- - u- --u-	iambic trimeter (tragic)	
πέμπει μελαίνης Ἀΐδης ὑπὸ χθονός·	-- u-- -u- u- u-	iambic trimeter (tragic)	
οἱ δ᾽ἐν θαλάσσῃ λαίλαπι κλονεύμενοι	- - u-- -u- u-u-	iambic trimeter (tragic)	
καὶ κύμασιν πολλοῖσι πορφυρῆς ἁλὸς	- -u- --u -u- u-	iambic trimeter (tragic)	
θνῄσκουσιν, εὖτ᾽ ἂν νῆα νήσωνται ζοῇ·	--u - - -u --- u-	iambic trimeter (tragic)	
οἱ δ᾽ἀγχόνην ἅψαντο δυστήνῳ λόφῳ	- -u- --u --- u-	iambic trimeter (tragic)	
καὐτάγρετοι λείπουσιν ἡλίου φάος.	--u- --u -u- u-	iambic trimeter (tragic)	
οὕτω κακῶν ἄπ᾽ οὐδέν· ἀλλὰ μυρίαι	-- u- u -u -u -u-	iambic trimeter (tragic)	
βροτοῖσι κῆρες κἀνεπίφραστοι δύαι	u-u -- -u--- u-	iambic trimeter (tragic)	
καὶ πήματ᾽ ἐστίν· εἰ δ᾽ἐμοὶ πιθοίατο,	- -u -u - u- u-u-	iambic trimeter (tragic)	
οὐκ ἂν καλῶν ἐρῷμεν, οὐδ᾽ ἐπ᾽ ἄλγεσι	- - u- u-u - u -u-	iambic trimeter (tragic)	
κακοῖς ἔχοντες θυμὸν αἰκιζοίμεθα.	u- u-- -u ---u-	iambic trimeter (tragic)	
τοῦ μὲν θανόντος οὐκ ἂν ἐνθυμοίμεθα,	- - u-u - u ---u-	iambic trimeter (tragic)	
εἴ τι φρονοῦμεν, πλεῖον ἡμέρης μιῆς.	- - u-- -u -u- u-	iambic trimeter (tragic)	
σύγκρισις ζωῆς καὶ θανάτου· Σημωνίδου·	--- -- - uu- --u-	lyric	
πολλὸς γὰρ ἡμῖν ἐστι τεθνάναι χρόνος,	-- u -- -u -u- u-	iambic trimeter (tragic)	
ζῶμεν δ᾽ἀριθμῷ παῦρα καὶ κακῶς ἔτεα.	-- u-- -u - u- u-	iambic trimeter (tragic)	
πάμπαν δ᾽ἄμωμος οὔτις οὐδ᾽ ἀκήριος.	-- u-u -u - u-u-	iambic trimeter (tragic)	
ἄθηλος ἵππῳ πῶλος ὣς ἅμα τρέχει.	u-u -- -u - u- u-	iambic trimeter (tragic)	
γυναικὸς οὐδὲν χρῆμ᾽ ἀνὴρ ληΐζεται	u-u -- - u- --u-	iambic trimeter (tragic)	
ἐσθλῆς ἄμεινον οὐδὲ ῥίγιον κακῆς.	-- u-u -u -u- u-	iambic trimeter (tragic)	
χωρὶς γυναικὸς θεὸς ἐποίησεν νόον	-- u-- uu u--- u-	lyric	
τὰ πρῶτα. τὴν μὲν ἐξ ὑὸς τανύτριχος,	u -u - u - u- u-u-	iambic trimeter (tragic)	
τῇ πάντ᾽ ἀν᾽ οἶκον βορβόρῳ πεφυρμένα	- - u -- -u- u-u-	iambic trimeter (tragic)	
ἄκοσμα κεῖται καὶ κυλινδεῖται χαμαί·	u-u -- - u--- u-	iambic trimeter (tragic)	
αὐτὴ δ᾽ἄλουτος ἀπλύτοις τ᾽ἐν εἵμασιν	-- u-u -u- u -u-	iambic trimeter (tragic)	
ἐν κοπρίῃσιν ἡμένη πιαίνεται.	- -u-u -u- u-u-	iambic trimeter (tragic)	
τὴν δ᾽ἐξ ἀλιτρῆς θεὸς ἔθηκ᾽ ἀλώπεκος	- - u-- uu u- u-u-	lyric	
γυναῖκα πάντων ἴδριν· οὐδέ μιν κακῶν	u-u -- -u -u - u-	iambic trimeter (tragic)	
λέληθεν οὐδὲν οὐδὲ τῶν ἀμεινόνων.	u-u -u -u - u-u-	iambic trimeter (tragic)	
τὸ μὲν γὰρ αὐτῶν εἶπε πολλάκις κακόν,	u - u -- -u -u- u-	iambic trimeter (tragic)	
τὸ δ᾽ἐσθλόν· ὀργὴν δ᾽ἄλλοτ᾽ ἀλλοίην ἔχει.	u -u -- -u --- u-	iambic trimeter (tragic)	
