Κάδμου πολῖται, χρὴ λέγειν τὰ καίρια	-- u-- - u- u -u-	iambic trimeter (tragic)	
ὅστις φυλάσσει πρᾶγος ἐν πρύμνῃ πόλεως	-- u-- -u - -- u-	iambic trimeter (tragic)	
οἴακα νωμῶν, βλέφαρα μὴ κοιμῶν ὕπνῳ.	--u -- uuu - -- u-	lyric	
εἰ μὲν γὰρ εὖ πράξαιμεν, αἰτία θεοῦ·	- - u - --u -u- u-	iambic trimeter (tragic)	
εἰ δʼ αὖθʼ, ὃ μὴ γένοιτο, συμφορὰ τύχοι,	- - u - u-u -u- u-	iambic trimeter (tragic)	
Ἐτεοκλέης ἂν εἷς πολὺς κατὰ πτόλιν	uu-u- u - u- u- u-	iambic trimeter (tragic)	
ὑμνοῖθʼ ὑπʼ ἀστῶν φροιμίοις πολυρρόθοις	-- u -- -u- u-u-	iambic trimeter (tragic)	
οἰμώγμασίν θʼ, ὧν Ζεὺς ἀλεξητήριος	--u- - - u---u-	iambic trimeter (tragic)	
ἐπώνυμος γένοιτο Καδμείων πόλει.	u-u- u-u --- u-	iambic trimeter (tragic)	
ὑμᾶς δὲ χρὴ νῦν, καὶ τὸν ἐλλείποντʼ ἔτι	-- u - - - u --- u-	iambic trimeter (tragic)	
ἥβης ἀκμαίας καὶ τὸν ἔξηβον χρόνῳ,	-- u-- - u --- u-	iambic trimeter (tragic)	
βλαστημὸν ἀλδαίνοντα σώματος πολύν,	--u ---u -u- u-	iambic trimeter (tragic)	
ὥραν τʼ ἔχονθʼ ἕκαστον ὥστε συμπρεπές,	-- u- u-u -u -u-	iambic trimeter (tragic)	
πόλει τʼ ἀρήγειν καὶ θεῶν ἐγχωρίων	u- u-- - u- --u-	iambic trimeter (tragic)	
βωμοῖσι, τιμὰς μὴ ʼξαλειφθῆναί ποτε·	--u -- - u--- u-	iambic trimeter (tragic)	
τέκνοις τε, Γῇ τε μητρί, φιλτάτῃ τροφῷ·	u- u - u -u -u- u-	iambic trimeter (tragic)	
ἡ γὰρ νέους ἕρποντας εὐμενεῖ πέδῳ,	- - u- --u -u- u-	iambic trimeter (tragic)	
ἅπαντα πανδοκοῦσα παιδείας ὄτλον,	u-u -u-u --- u-	iambic trimeter (tragic)	
ἐθρέψατʼ οἰκητῆρας ἀσπιδηφόρους	u-u ---u -u-u-	iambic trimeter (tragic)	
πιστοὺς ὅπως γένοισθε πρὸς χρέος τόδε.	-- u- u-u - u- u-	iambic trimeter (tragic)	
καὶ νῦν μὲν ἐς τόδʼ ἦμαρ εὖ ῥέπει θεός·	- - u - u -u - u- u-	iambic trimeter (tragic)	
χρόνον γὰρ ἤδη τόνδε πυργηρουμένοις	u- u -- -u ---u-	iambic trimeter (tragic)	
καλῶς τὰ πλείω πόλεμος ἐκ θεῶν κυρεῖ.	u- u -- uuu - u- u-	lyric	
νῦν δʼ ὡς ὁ μάντις φησίν, οἰωνῶν βοτήρ,	- - u -- -u --- u-	iambic trimeter (tragic)	
ἐν ὠσὶ νωμῶν καὶ φρεσίν, πυρὸς δίχα,	u -u -- - u- u- u-	iambic trimeter (tragic)	
χρηστηρίους ὄρνιθας ἀψευδεῖ τέχνῃ·	--u- --u --- u-	iambic trimeter (tragic)	
οὗτος τοιῶνδε δεσπότης μαντευμάτων	-- u-u -u- --u-	iambic trimeter (tragic)	
λέγει μεγίστην προσβολὴν Ἀχαιίδα	u- u-- -u- u-u-	iambic trimeter (tragic)	
νυκτηγορεῖσθαι κἀπιβουλεύσειν πόλει.	--u-- -u--- u-	iambic trimeter (tragic)	
ἀλλʼ ἔς τʼ ἐπάλξεις καὶ πύλας πυργωμάτων	- - u-- - u- --u-	iambic trimeter (tragic)	
ὁρμᾶσθε πάντες, σοῦσθε σὺν παντευχίᾳ,	--u -- -u - --u-	iambic trimeter (tragic)	
πληροῦτε θωρακεῖα, κἀπὶ σέλμασιν	--u ---u -u -u-	iambic trimeter (tragic)	
πύργων στάθητε, καὶ πυλῶν ἐπʼ ἐξόδοις	-- u-u - u- u -u-	iambic trimeter (tragic)	
μίμνοντες εὖ θαρσεῖτε, μηδʼ ἐπηλύδων	--u - --u - u-u-	iambic trimeter (tragic)	
ταρβεῖτʼ ἄγαν ὅμιλον· εὖ τελεῖ θεός.	-- u- u-u - u- u-	iambic trimeter (tragic)	
σκοποὺς δὲ κἀγὼ καὶ κατοπτῆρας στρατοῦ	u- u -- - u--- u-	iambic trimeter (tragic)	
ἔπεμψα, τοὺς πέποιθα μὴ ματᾶν ὁδῷ·	u-u - u-u - u- u-	iambic trimeter (tragic)	
καὶ τῶνδʼ ἀκούσας οὔ τι μὴ ληφθῶ δόλῳ.	- - u-- - u - -- u-	iambic trimeter (tragic)	
Ἐτεόκλεες, φέριστε Καδμείων ἄναξ,	uu-u- u-u --- u-	iambic trimeter (tragic)	
ἥκω σαφῆ τἀκεῖθεν ἐκ στρατοῦ φέρων,	-- u- --u - u- u-	iambic trimeter (tragic)	
αὐτὸς κατόπτης δʼ εἴμʼ ἐγὼ τῶν πραγμάτων·	-- u-- - u- - -u-	iambic trimeter (tragic)	
ἄνδρες γὰρ ἑπτά, θούριοι λοχαγέται,	-- u -u -u- u-u-	iambic trimeter (tragic)	
ταυροσφαγοῦντες ἐς μελάνδετον σάκος	--u-u - u-u- u-	iambic trimeter (tragic)	
καὶ θιγγάνοντες χερσὶ ταυρείου φόνου,	- -u-- -u --- u-	iambic trimeter (tragic)	
Ἄρη τʼ, Ἐνυώ, καὶ φιλαίματον Φόβον	u- u-- - u-u- u-	iambic trimeter (tragic)	
ὡρκωμότησαν ἢ πόλει κατασκαφὰς	--u-u - u- u-u-	iambic trimeter (tragic)	
θέντες λαπάξειν ἄστυ Καδμείων βίᾳ,	-- u-- -u --- u-	iambic trimeter (tragic)	
ἢ γῆν θανόντες τήνδε φυράσειν φόνῳ·	- - u-- -u --- u-	iambic trimeter (tragic)	
μνημεῖά θʼ αὑτῶν τοῖς τεκοῦσιν ἐς δόμους	--u -- - u-u - u-	iambic trimeter (tragic)	
πρὸς ἅρμʼ Ἀδράστου χερσὶν ἔστεφον, δάκρυ	u - u-- -u -u- u-	iambic trimeter (tragic)	
λείβοντες· οἶκτος δʼ οὔτις ἦν διὰ στόμα.	--u -- -u - u- u-	iambic trimeter (tragic)	
σιδηρόφρων γὰρ θυμὸς ἀνδρείᾳ φλέγων	u-u- - -u --- u-	iambic trimeter (tragic)	
ἔπνει, λεόντων ὡς Ἄρη δεδορκότων.	u- u-- - u- u-u-	iambic trimeter (tragic)	
καὶ τῶνδε πύστις οὐκ ὄκνῳ χρονίζεται·	- -u -u - u- u-u-	iambic trimeter (tragic)	
κληρουμένους δʼ ἔλειπον, ὡς πάλῳ λαχὼν	--u- u-u - u- u-	iambic trimeter (tragic)	
ἕκαστος αὐτῶν πρὸς πύλας ἄγοι λόχον.	u-u -- - u- u- u-	iambic trimeter (tragic)	
πρὸς ταῦτʼ ἀρίστους ἄνδρας ἐκκρίτους πόλεως	- - u-- -u -u- u-	iambic trimeter (tragic)	
πυλῶν ἐπʼ ἐξόδοισι τάγευσαι τάχος·	u- u -u-u --- u-	iambic trimeter (tragic)	
ἐγγὺς γὰρ ἤδη πάνοπλος Ἀργείων στρατὸς	-- u -- uuu --- u-	lyric	
χωρεῖ, κονίει, πεδία δʼ ἀργηστὴς ἀφρὸς	-- u-- uuu --- u-	lyric	
χραίνει σταλαγμοῖς ἱππικῶν ἐκ πλευμόνων.	-- u-- -u- - -u-	iambic trimeter (tragic)	
σὺ δʼ ὥστε ναὸς κεδνὸς οἰακοστρόφος	u -u -- -u ---u-	iambic trimeter (tragic)	
φράξαι πόλισμα, πρὶν καταιγίσαι πνοὰς	-- u-u - u-u- u-	iambic trimeter (tragic)	
Ἄρεως· βοᾷ γὰρ κῦμα χερσαῖον στρατοῦ·	u- u- - -u --- u-	iambic trimeter (tragic)	
καὶ τῶνδε καιρὸν ὅστις ὤκιστος λαβέ·	- -u -u -u --- u-	iambic trimeter (tragic)	
κἀγὼ τὰ λοιπὰ πιστὸν ἡμεροσκόπον	-- u -u -u -u-u-	iambic trimeter (tragic)	
ὀφθαλμὸν ἕξω, καὶ σαφηνείᾳ λόγου	--u -- - u--- u-	iambic trimeter (tragic)	
εἰδὼς τὰ τῶν θύραθεν ἀβλαβὴς ἔσῃ.	-- u - u-u -u- u-	iambic trimeter (tragic)	
ὦ Ζεῦ τε καὶ Γῆ καὶ πολισσοῦχοι θεοί,	- - u - - - u--- u-	iambic trimeter (tragic)	
Ἀρά τʼ Ἐρινὺς πατρὸς ἡ μεγασθενής,	u- u-- -u - u-u-	iambic trimeter (tragic)	
μή μοι πόλιν γε πρυμνόθεν πανώλεθρον	- - u- u -u- u-u-	iambic trimeter (tragic)	
ἐκθαμνίσητε δῃάλωτον, Ἑλλάδος	--u-u -u-u -u-	iambic trimeter (tragic)	
φθόγγον χέουσαν, καὶ δόμους ἐφεστίους·	-- u-- - u- u-u-	iambic trimeter (tragic)	
ἐλευθέραν δὲ γῆν τε καὶ Κάδμου πόλιν	u-u- u - u - -- u-	iambic trimeter (tragic)	
ζυγοῖσι δουλίοισι μήποτε σχεθεῖν·	u-u -u-u -u- u-	iambic trimeter (tragic)	
γένεσθε δʼ ἀλκή· ξυνὰ δʼ ἐλπίζω λέγειν·	u-u -- -u --- u-	iambic trimeter (tragic)	
πόλις γὰρ εὖ πράσσουσα δαίμονας τίει.	u- u - --u -u- u-	iambic trimeter (tragic)	
u-u θρέομαι φοβερὰ μεγάλʼ ἄχη·	u-u uu- uuu uu u-	lyric	
μεθεῖται στρατός· στρατόπεδον λιπὼν	u-- u- uuu- u-	lyric	
ῥεῖ πολὺς ὅδε λεὼς πρόδρομος ἱππότας·	- uu uu u- uuu -u-	lyric	
αἰθερία κόνις με πείθει φανεῖσʼ,	-uu- u- u -- u-	lyric	
ἄναυδος σαφὴς ἔτυμος ἄγγελος.	u-- u- uuu -u-	lyric	
ἔτι δὲ <γᾶς> ἐμᾶς πεδίʼ ὁπλόκτυπʼ ὠ-	uu u - u- uu u-u -	lyric	
τὶ χρίμπτει βοάν· ποτᾶται, βρέμει δʼ	u -- u- u-- u-	lyric	
ἀμαχέτου δίκαν ὕδατος ὀροτύπου.	uuu- u- uuu uuu-	lyric	
ἰὼ ἰὼ	u- u-	lyric	
ἰὼ θεοὶ θεαί τʼ ὀρόμενον κακὸν	u- - u- uuu- u-	lyric	
βοᾷ τειχέων ὕπερ ἀλεύσατε.	u- -u- uu u-u-	lyric	
ὁ λεύκασπις ὄρνυται λαὸς εὐ-	u --u -u- -u -	lyric	
τρεπὴς ἐπὶ πόλιν διώκων [πόδα	u- uu u- u-- u-	lyric	
τίς ἄρα ῥύσεται, τίς ἄρʼ ἐπαρκέσει	u uu -u- u u u-u-	lyric	
θεῶν ἢ θεᾶν;	u- - u-	lyric	
πότερα δῆτʼ ἐγὼ <πάτρια> ποτιπέσω	uuu - u- uuu uuu-	lyric	
βρέτη δαιμόνων;	u- -u-	lyric	
ἰὼ μάκαρες εὔεδροι,	u- uuu -u-	lyric	
ἀκμάζει βρετέων ἔχεσθαι· τί μέλ-	u-- u- u-- u -	lyric	
λομεν ἀγάστονοι;	uu u-u-	lyric	
ἀκούετʼ ἢ οὐκ ἀκούετʼ ἀσπίδων κτύπον;	u-u - u-u -u- u-	iambic trimeter (tragic)	
πέπλων καὶ στεφέων πότʼ εἰ μὴ νῦν ἀμ-	u- - u- u - - - -	lyric	
φὶ λιτάνʼ ἕξομεν;	u uu -u-	lyric	
κτύπον δέδορκα· πάταγος οὐχ ἑνὸς δορός.	u- u-u uuu - u- u-	lyric	
τί ῥέξεις; προδώσεις, παλαίχθων	u -- u-- u--	lyric	
Ἄρης, τὰν τεάν;	u- - u-	lyric	
ὼ χρυσοπήληξ δαῖμον ἔπιδʼ ἔπιδε πόλιν	- -u-- -u uu uuu u-	lyric	
ἅν ποτʼ εὐφιλήταν ἔθου.	- u -u-- u-	lyric	
θεοὶ πολιάοχοι πάντες ἴτε χθονὸς·	- uu-u- -u u- u-	lyric	
ἴδετε παρθένων	uuu -u-	lyric	
ἱκέσιον λόχον δουλοσύνας ὕπερ.	uuu- u- -uu- u-	lyric	
κῦμα περὶ πτόλιν δοχμολόφων ἀνδρῶν	-u u- u- -uu- --	lyric	
καχλάζει πνοαῖς Ἄρεος ὀρόμενον.	u-- u- uuu uuu-	lyric	
ἀλλʼ, ὦ Ζεῦ πάτερ παντὸς ἔχων τέλος,	- - - u- -u u- u-	lyric	
πάντως ἄρηξον δαΐων ἅλωσιν.	-- u-- -u- u--	lyric	
Ἀργέιοι δὲ πόλισμα Κάδμου	-uu- u u-u --	lyric	
κυκλοῦνται· φόβος δʼ ἀρῄων ὅπλων	u-- u- u-- u-	lyric	
[δονεῖ	u- uu u - uu- -u-	lyric	
μινύρονται φόνον χαλινοί.	u--- u- u--	lyric	
ἑπτὰ δʼ ἀγάνορες πρέποντες στρατοῦ	-u u-u- u-- u-	lyric	
δορυσσοῖς σαγαῖς πύλαις ἑβδόμαις	u-- u- u- -u-	lyric	
προσίστανται πάλῳ λαχόντες.	u--- u- u--	lyric	
σύ τʼ, ὦ Διογενὲς φιλόμαχον κράτος,	u - uuu- uuu- u-	lyric	
ῥυσίπολις γενοῦ,	uuu- u-	lyric	
Παλλάς, ὅ θʼ ἵππιος ποντομέδων ἄναξ	-u u -u- -uu- u-	lyric	
ἰχθυβόλῳ Ποσειδάων μαχανᾷ,	-uu- u--- -u-	lyric	
ἐπίλυσιν φόβων, ἐπίλυσιν δίδου.	uuu- u- uuu- u-	lyric	
σύ τʼ, Ἄρης, φεῦ, φεῦ, πόλιν ἐπώνυμον	u -- - - uu u-u-	lyric	
Κάδμου φύλαξον κήδεσαί τʼ ἐναργῶς.	u- u-- -u- u--	lyric	
καὶ Κύπρις, ἅτε γένους προμάτωρ,	- uu -u u- u--	lyric	
ἄλευσον· σέθεν γὰρ ἐξ αἵματος	u-- u- u - -u-	lyric	
γεγόναμεν· λιταῖσί σε θεοκλύτοις	uuu- u-u u u-u-	lyric	
ἀυτοῦσαι πελαζόμεσθα.	u--- u-u--	lyric	
καὶ σύ, Λύκειʼ ἄναξ, Λύκειος γενοῦ	- u u- u- u-- u-	lyric	
στρατῷ δαΐῳ στόνων ἀντίτας.	u- -u- u- -u-	lyric	
σύ τʼ, ὦ Λατογένει-	u - -uu-	lyric	
α κούρα, τόξον εὐτυκάζου.	u -- -u -u--	lyric	
ἒ ἒ ἒ ἔ,	u u u u	lyric	
ὄτοβον ἁρμάτων ἀμφὶ πόλιν κλύω·	uuu -u- -u u- u-	lyric	
ὦ πότνιʼ Ἥρα.	- uu --	anapaestic	
ἔλακον ἀξόνων βριθομένων χνόαι.	uuu -u- -uu- u-	lyric	
Ἄρτεμι φίλα,	-uu u-	lyric	
δοριτίνακτος αἰθὴρ δʼ ἐπιμαίνεται.	uuu-u -- uu-u-	lyric	
τί πόλις ἄμμι πάσχει, τί γενήσεται;	u uu -u -- u u-u-	lyric	
ποῖ δʼ ἔτι τέλος ἐπάγει θεός;	- uu uu uu- u-	lyric	
ἒ ἒ ἒ ἔ,	u u u u	lyric	
ἀκροβόλων δʼ ἐπάλξεων λιθὰς ἔρχεται·	uuu- u-- uu -u-	lyric	
ὦ φίλʼ Ἄπολλον·	- u u--	anapaestic	
κόναβος ἐν πύλαις χαλκοδέτων σακέων,	uuu - u- -uu- u-	lyric	
παῖ Διός, ὅθεν	- uu u-	lyric	
πολεμόκραντον ἁγνὸν τέλος ἐν μάχᾳ.	uuu-u -- uu - u-	lyric	
σύ τε, μάκαιρʼ ἄνασσʼ Ὄγκα, πρὸ πόλεως	u u u- u- -- u uu-	lyric	
ἑπτάπυλον ἕδος ἐπιρρύου.	-uuu uu u-u-	lyric	
ἰὼ παναρκεῖς θεοί,	u- u-- u-	lyric	
ἰὼ τέλειοι τέλειαί τε γᾶς	u- u-- u-- u -	lyric	
τᾶσδε πυργοφύλακες,	-u -uuu-	lyric	
πόλιν δορίπονον μὴ προδῶθʼ	u- uuu- - u-	lyric	
ἑτεροφώνῳ στρατῷ.	uuu-- u-	lyric	
κλύετε παρθένων κλύετε πανδίκως	uuu -u- uuu -u-	lyric	
χειροτόνους λιτάς.	-uu- u-	lyric	
ἰὼ φίλοι δαίμονες,	u- u- -u-	lyric	
λυτήριοί <τʼ >ἀμφιβάντες πόλιν,	u-u- -u-- u-	lyric	
δείξαθʼ ὡς φιλοπόλεις,	-u - uuu-	lyric	
μέλεσθέ θʼ ἱερῶν δημίων,	u-u uu- -u-	lyric	
μελόμενοις τʼ ἄλξατε·	uuu- -u-	lyric	
φιλοθύτων δέ τοι πόλεος ὀργίων	uuu- u - uuu -u-	lyric	
μνήστορες ἐστέ μοι.	-uu -u -	lyric	
ὑμᾶς ἐρωτῶ, θρέμματʼ οὐκ ἀνασχετά,	-- u-- -u - u-u-	iambic trimeter (tragic)	
ἦ ταῦτʼ ἄριστα καὶ πόλει σωτήρια,	- - u-u - u- --u-	iambic trimeter (tragic)	
στρατῷ τε θάρσος τῷδε πυργηρουμένῳ,	u- u -- -u ---u-	iambic trimeter (tragic)	
βρέτη πεσούσας πρὸς πολισσούχων θεῶν	u- u-- - u--- u-	iambic trimeter (tragic)	
αὔειν, λακάζειν, σωφρόνων μισήματα;	-- u-- -u- --u-	iambic trimeter (tragic)	
μήτʼ ἐν κακοῖσι μήτʼ ἐν εὐεστοῖ φίλῃ	- - u-u - u --- u-	iambic trimeter (tragic)	
ξύνοικος εἴην τῷ γυναικείῳ γένει.	u-u -- - u--- u-	iambic trimeter (tragic)	
κρατοῦσα μὲν γὰρ οὐχ ὁμιλητὸν θράσος,	u-u - u - u--- u-	iambic trimeter (tragic)	
δείσασα δʼ οἴκῳ καὶ πόλει πλέον κακόν.	--u -- - u- u- u-	iambic trimeter (tragic)	
καὶ νῦν πολίταις τάσδε διαδρόμους φυγὰς	- - u-- -u uuu- u-	lyric	
θεῖσαι διερροθήσατʼ ἄψυχον κάκην·	-- u-u-u --- u-	iambic trimeter (tragic)	
τὰ τῶν θύραθεν δʼ ὡς ἄριστʼ ὀφέλλεται,	u - u-- - u- u-u-	iambic trimeter (tragic)	
αὐτοὶ δʼ ὑπʼ αὐτῶν ἔνδοθεν πορθούμεθα.	-- u -- -u- --u-	iambic trimeter (tragic)	
τοιαῦτά τἂν γυναιξὶ συνναίων ἔχοις.	--u - u-u --- u-	iambic trimeter (tragic)	
κεἰ μή τις ἀρχῆς τῆς ἐμῆς ἀκούσεται,	- - u -- - u- u-u-	iambic trimeter (tragic)	
ἀνὴρ γυνή τε χὤ τι τῶν μεταίχμιον,	u- u- u - u - u-u-	iambic trimeter (tragic)	
ψῆφος κατʼ αὐτῶν ὀλεθρία βουλεύσεται,	-- u -- uuu- --u-	lyric	
λευστῆρα δήμου δʼ οὔ τι μὴ φύγῃ μόρον.	--u -- - u - u- u-	iambic trimeter (tragic)	
μέλει γὰρ ἀνδρί, μὴ γυνὴ βουλευέτω,	u- u -u - u- --u-	iambic trimeter (tragic)	
τἄξωθεν· ἔνδον δʼ οὖσα μὴ βλάβην τίθει.	--u -- -u - u- u-	iambic trimeter (tragic)	
ἤκουσας ἢ οὐκ ἤκουσας, ἢ κωφῇ λέγω;	--u - --u - -- u-	iambic trimeter (tragic)	
ὦ φίλον Οἰδίπου τέκος, ἔδεισʼ ἀκού-	- uu -u- uu u- u-	lyric	
σασα τὸν ἁρματόκτυπον ὄτοβον ὄτοβον,	-u u -u-uu uuu uu-	lyric	
ὅτε τε σύριγγες ἔκλαγξαν ἑλίτροχοι,	uu u --u u-u u-u-	lyric	
ἱππικῶν τʼ ἀπύαν πηδαλίων διὰ στόμα	-u- -u- -uu- u- u-	lyric	
πυριγενετᾶν χαλινῶν.	uuuu- u--	lyric	
τί οὖν; ὁ ναύτης ἆρα μὴ ʼς πρῷραν φυγὼν	u - u -- -u - -- u-	iambic trimeter (tragic)	
πρύμνηθεν ηὗρε μηχανὴν σωτηρίας,	--u -u -u- --u-	iambic trimeter (tragic)	
νεὼς καμούσης ποντίῳ πρὸς κύματι;	u- u-- -u- - -u-	iambic trimeter (tragic)	
ἀλλʼ ἐπὶ δαιμόνων πρόδρομος ἦλθον ἀρ-	- uu -u- uuu -u -	lyric	
χαῖα βρέτη, θεοῖσι πίσυνος, νιφάδος	-u u- u-u uu- uuu	lyric	
ὅτʼ ὀλοᾶς νειφομένας βρόμος ἐν πύλαις·	u uu- -uu- uu - u-	lyric	
δὴ τότʼ ἤρθην φόβῳ πρὸς μακάρων λιτάς, πόλεως	- u -- u- - uu- u- u-	lyric	
ἵνʼ ὑπερέχοιεν ἀλκάν.	u uuu-u --	lyric	
πύργον στέγειν εὔχεσθε πολέμιον δόρυ.	-- u- --u uuu- u-	lyric	
οὐκοῦν τάδʼ ἔσται πρὸς θεῶν· ἀλλʼ οὖν θεοὺς	-- u -- - u- - - u-	iambic trimeter (tragic)	
τοὺς τῆς ἁλούσης πόλεος ἐκλείπειν λόγος.	- - u-- uuu --- u-	lyric	
μήποτʼ ἐμὸν κατʼ αἰῶνα λίποι θεῶν	-u u- u --u u- u-	lyric	
ἅδε πανάγυρις, μηδʼ ἐπίδοιμι τάνδʼ	uu u-u- - uu-u -	lyric	
ἀστυδρομουμέναν πόλιν καὶ στράτευμʼ	-uu-u- u- - u-	lyric	
ἁπτόμενον πυρὶ δαΐῳ.	-uu- uu -u-	lyric	
μή μοι θεοὺς καλοῦσα βουλεύου κακῶς·	- - u- u-u --- u-	iambic trimeter (tragic)	
πειθαρχία γάρ ἐστι τῆς εὐπραξίας	--u- u -u - --u-	iambic trimeter (tragic)	
μήτηρ, γυνὴ σωτῆρος· ὧδʼ ἔχει λόγος.	-- u- --u - u- u-	iambic trimeter (tragic)	
ἔστι· θεοῦ δʼ ἔτʼ ἰσχὺς καθυπερτέρα·	-u u- u -- uu-u-	lyric	
πολλάκι δʼ ἐν κακοῖσι τὸν ἀμάχανον	-uu - u-u u u-u-	lyric	
κἀκ χαλεπᾶς δύας ὕπερθʼ ὀμμάτων	- uu- uu u- -u-	lyric	
κρημναμενᾶν νεφελᾶν ὀρθοῖ.	-uu- uu- --	lyric	
ἀνδρῶν τάδʼ ἐστί, σφάγια καὶ χρηστήρια	-- u -- uuu - --u-	lyric	
θεοῖσιν ἕρδειν πολεμίων πειρωμένους·	u-u -- uuu- --u-	lyric	
σὸν δʼ αὖ τὸ σιγᾶν καὶ μένειν εἴσω δόμων.	- - u -- - u- -- u-	iambic trimeter (tragic)	
διὰ θεῶν πόλιν νεμόμεθʼ ἀδάματον,	uu u- u- uuu uuu-	lyric	
δυσμενέων δʼ ὄχλον πύργος ἀποστέγει.	-uu- u- -u u-u-	lyric	
τίς τάδε νέμεσις στυγεῖ;	- uu uu- u-	lyric	
οὔτοι φθονῶ σοι δαιμόνων τιμᾶν γένος·	-- u- - -u- u- u-	iambic trimeter (tragic)	
ἀλλʼ ὡς πολίτας μὴ κακοσπλάγχνους τιθῇς,	- - u-- - u--- u-	iambic trimeter (tragic)	
εὔκηλος ἴσθι μηδʼ ἄγαν ὑπερφοβοῦ.	--u -u - u- u-u-	iambic trimeter (tragic)	
ποτίφατον κλύουσα πάταγον ἀνάμιγα	uuu- u-u uuu uuu-	lyric	
ταρβοσύνῳ φόβῳ τάνδʼ ἐς ἀκρόπτολιν,	-uu- u- - u u-u-	lyric	
τίμιον ἕδος, ἱκόμαν.	-uu uu -u-	lyric	
μή νυν, ἐὰν θνῄσκοντας ἢ τετρωμένους	- - u- --u - u-u-	iambic trimeter (tragic)	
πύθησθε, κωκυτοῖσιν ἁρπαλίζετε.	u-u ---u -u-u-	iambic trimeter (tragic)	
