Γλαύκας ὦ φιλέριθ᾽ ἀλακάτα δῶρον Ἀθανάας	-u - uu- -uu- -u u-u-	lyric	
γύναιξιν, νόος οἰκωφελίας αἷσιν ἐπάβολος,	u-- uu --uu- -u u-u-	lyric	
θέρσεισ᾽ ἄμμιν ὑμάρτη πόλιν ἐς Νείλεος ἀγλάαν,	-- -u u-- uu - -uu -u-	lyric	
ὅπᾳ Κύπριδος ἶρον καλάμω χλῶρον ὑπαπάλω.	u- -uu -- uu- -u u-u-	lyric	
τυῖδε γὰρ πλόον εὐάνεμον αἰτήμεθα πὰρ Δίος,	-u - uu --uu --uu - u-	lyric	
ὅπως ξέννον ἔμον τέρψομ᾽ ἴδων κἀντιφιλήσομεν,	u- -u u- -u u- -uu-u-	lyric	
Νικίαν, Χαρίτων ἰμεροφώνων ἴερον φύτον,	-u- uu- -uu-- uu- u-	lyric	
καὶ σὲ τὰν ἐλέφαντος πολυμόχθω γεγενημέναν	- u - uu-- uu-- uu-u-	lyric	
δῶρον Νικιάας εἰς ὀλόχω χέρρας ὀπάσσομεν,	-- -uu- - uu- -u u-u-	lyric	
σὺν τᾷ πόλλα μὲν ἔργ᾽ ἐκτελέσεις ἀνδρεΐοις πέπλοις,	- - -u u - -uu- -uu- u-	lyric	
πόλλα δ᾽οἷα γύναικες φορέοισ᾽ ὐδάτινα βράκη.	-u -u u-- uu- -uu- u-	lyric	
δὶς γὰρ μάτερες ἄρνων μαλάκοις ἐν βοτάνᾳ πόκοις	- - -uu -- uu- - uu- u-	lyric	
πέξαιντ᾽ αὐτοένει, Θευγένιδός γ᾽ἔνεκ᾽ ἐυσφύρω·	-- -uu- -uu- -u u-u-	lyric	
οὕτως ἀνυσίεργος, φιλέει δ᾽ὅσσα σαόφρονες.	-- -uu-- uu- -u u-u-	lyric	
οὐ γὰρ εἰς ἀκίρας οὐδ᾽ ἐς ἀέργω κεν ἐβολλόμαν	- u - uu- - u u-- u u-u-	lyric	
