Ὦ ἄνα, Λητοῦς υἱέ, Διὸς τέκος, οὔποτε σεῖο	- uu -- -u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
λήσομαι ἀρχόμενος οὐδ᾽ ἀποπαυόμενος,	-uu -uu- - uu-uu-	dactylic pentameter	
ἀλλ᾽ αἰεὶ πρῶτόν τε καὶ ὕστατον ἔν τε μέσοισιν	- -- -- u u -uu - u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀείσω· σὺ δέ μοι κλῦθι καὶ ἐσθλὰ δίδου.	--- u u - -u u -u u-	dactylic pentameter	
Φοῖβε ἄναξ, ὅτε μέν σε θεὰ τέκε πότνια Λητώ,	-u u- uu - u u- uu -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
φοίνικος ῥαδινῇς χερσὶν ἐφαψαμένη,	--- uu- -u u-uu-	dactylic pentameter	
ἀθανάτων κάλλιστον, ἐπὶ τροχοειδέϊ λίμνῃ,	-uu- --u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
πᾶσα μὲν ἐπλήσθη Δῆλος ἀπειρεσίη	-u u --- -u u-uu-	dactylic pentameter	
ὀδμῆς ἀμβροσίης, ἐγέλασσε δὲ γαῖα πελώρη	-- -uu- uu-u u -u u--	dactylic hexameter	masculine penthemimeral
γήθησεν δὲ βαθὺς πόντος ἁλὸς πολιῆς.	--- u u- -u u- uu-	dactylic pentameter	
Ἄρτεμι θηροφόνη, θύγατερ Διός, ἣν Ἀγαμέμνων	-uu -uu- uu- uu - uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
εἵσαθ᾽ ὅτ᾽ ἐς Τροίην ἔπλεε νηυσὶ θοῇς,	-u u - -- -uu -u u-	dactylic pentameter	
εὐχομένῳ μοι κλῦθι, κακὰς δ᾽ἀπὸ κῆρας ἄλαλκε·	-uu- - -u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
σοὶ μὲν τοῦτο, θεά, σμικρόν, ἐμοὶ δὲ μέγα.	- - -u u- -u u- u u-	dactylic pentameter	
Μοῦσαι καὶ Χάριτες, κοῦραι Διός, αἵ ποτε Κάδμου	-- - uu- -- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἐς γάμον ἐλθοῦσαι καλὸν ἀείσατ᾽ ἔπος·	- uu --- -u u-u u-	dactylic pentameter	
"ὅττι καλόν, φίλον ἐστι, τὸ δ᾽οὐ καλὸν οὐ φίλον ἐστίν·"	-u u- uu -u u - uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τοῦτ᾽ ἔπος ἀθανάτων ἦλθε διὰ στομάτων.	- uu -uu- -u u- uu-	dactylic pentameter	
Κύρνε, σοφιζομένῳ μὲν ἐμοὶ σφρηγὶς ἐπικείσθω	-u u-uu- u u- -- uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
