μουσάων Ἑλικωνιάδων ἀρχώμεθʼ ἀείδειν,	--- uu-uu- --u u--	dactylic hexameter	hepthemimeral, trithemimeral
αἵθʼ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε	- uu-u u-u u- uu - uu- -	dactylic hexameter	feminine penthemimeral, hepthemimeral
καί τε περὶ κρήνην ἰοειδέα πόσσʼ ἁπαλοῖσιν	- u u- -- uu-uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.	--- - -u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο	- u u-uu- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο	- -- -- - --- uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο	-uu- uu-u u- uu----	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν.	-- -uu-u u---u u --	dactylic hexameter	feminine penthemimeral
ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,	-u u-uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,	-uu- -- uu-uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ὑμνεῦσαι Δία τ᾽αἰγίοχον καὶ πότνιαν Ἥρην	--- uu -uu- - -uu --	dactylic hexameter	hepthemimeral, trithemimeral
Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,	-uu- uu-u u-- -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
κούρην τ᾽αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην	-- -uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
Φοῖβόν τ᾽Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν	-- ---u u -uu -uu--	dactylic hexameter	feminine penthemimeral
ἠδὲ Ποσειδάωνα γεήοχον, ἐννοσίγαιον,	-u u---u u-uu -uu--	dactylic hexameter	feminine penthemimeral
καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ᾽Ἀφροδίτην	- uu --- uu-uu- uu--	dactylic hexameter	masculine penthemimeral
Ἥβην τε χρυσοστέφανον καλήν τε Διώνην	-- - --uu- -- u u--	dactylic hexameter	hepthemimeral, trithemimeral
Λητώ τ᾽Ἰαπετόν τε ἰδὲ Κρόνον ἀγκυλομήτην	-- -uu- u u- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Ἠῶ τ᾽Ἠέλιόν τε μέγαν λαμπράν τε Σελήνην	-- -uu- u u- -- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Γαῖάν τ᾽Ὠκεανόν τε μέγαν καὶ Νύκτα μέλαιναν	-- -uu- u u- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἄλλων τ᾽ἀθανάτων ἱερὸν γένος αἰὲν ἐόντων.	-- -uu- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αἵ νύ ποθʼ Ἡσίοδον καλὴν ἐδίδαξαν ἀοιδήν,	- u u -uu- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἄρνας ποιμαίνονθʼ Ἑλικῶνος ὕπο ζαθέοιο.	-- --- uu-u u- uu--	dactylic hexameter	masculine penthemimeral
τόνδε δέ με πρώτιστα θεαὶ πρὸς μῦθον ἔειπον,	-u u - --u u- - -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Μοῦσαι Ὀλυμπιάδες, κοῦραι Διὸς αἰγιόχοιο·	-u u-uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ποιμένες ἄγραυλοι, κάκʼ ἐλέγχεα, γαστέρες οἶον,	-uu --- u u-uu -uu --	dactylic hexameter	masculine penthemimeral
ἴδμεν ψεύδεα πολλὰ λέγειν ἐτύμοισιν ὁμοῖα,	-- -uu -u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἴδμεν δ᾽,εὖτʼ ἐθέλωμεν, ἀληθέα γηρύσασθαι.	-- - uu-u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
ὣς ἔφασαν κοῦραι μεγάλου Διὸς ἀρτιέπειαι·	- uu- -- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
καί μοι σκῆπτρον ἔδον δάφνης ἐριθηλέος ὄζον	- - -u u- -- uu-uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
δρέψασαι, θηητόν· ἐνέπνευσαν δέ μοι αὐδὴν	--- --u u--- u u --	dactylic hexameter	feminine penthemimeral, trithemimeral
θέσπιν, ἵνα κλείοιμι τά τ᾽ἐσσόμενα πρό τ᾽ἐόντα.	-u u- --u u -uu- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
καί μ᾽ἐκέλονθʼ ὑμνεῖν μακάρων γένος αἰὲν ἐόντων,	- uu- -- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
σφᾶς δ᾽αὐτὰς πρῶτόν τε καὶ ὕστατον αἰὲν ἀείδειν.	- -- -- u u -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀλλὰ τί ἦ μοι ταῦτα περὶ δρῦν ἢ περὶ πέτρην;	-u u - - -u u- - - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τύνη, Μουσάων ἀρχώμεθα, ταὶ Διὶ πατρὶ	-- --- --uu - uu --	dactylic hexameter	masculine penthemimeral
ὑμνεῦσαι τέρπουσι μέγαν νόον ἐντὸς Ὀλύμπου,	--- --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
εἰρεῦσαι τά τ᾽ἐόντα τά τ᾽ἐσσόμενα πρό τ᾽ἐόντα,	--- u u-u u -uu- u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
φωνῇ ὁμηρεῦσαι· τῶν δ᾽ἀκάματος ῥέει αὐδὴ	-u u--- - -uu- uu --	dactylic hexameter	masculine penthemimeral
ἐκ στομάτων ἡδεῖα· γελᾷ δέ τε δώματα πατρὸς	- uu- --u u- u u -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Ζηνὸς ἐριγδούποιο θεᾶν ὀπὶ λειριοέσσῃ	-u u---u u- uu -uu--	dactylic hexameter	feminine penthemimeral, hepthemimeral
σκιδναμένῃ· ἠχεῖ δὲ κάρη νιφόεντος Ὀλύμπου	-uu- -- u u- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
δώματά τ᾽ἀθανάτων. αἳ δ᾽ἄμβροτον ὄσσαν ἱεῖσαι	-uu -uu- - -uu -u u--	dactylic hexameter	masculine penthemimeral
θεῶν γένος αἰδοῖον πρῶτον κλείουσιν ἀοιδῇ	- uu --- -- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἐξ ἀρχῆς, οὓς Γαῖα καὶ Οὐρανὸς εὐρὺς ἔτικτεν,	- -- - -u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
οἵ τ᾽ἐκ τῶν ἐγένοντο θεοί, δωτῆρες ἐάων.	- - - uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
δεύτερον αὖτε Ζῆνα, θεῶν πατέρʼ ἠδὲ καὶ ἀνδρῶν,	-uu -- -u u- uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἀρχόμεναί θ᾽ὑμνεῦσι καὶ ἐκλήγουσαι ἀοιδῆς,	-uu- --u u ---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὅσσον φέρτατός ἐστι θεῶν κράτεί τε μέγιστος.	-- -uu -u u- -- u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
αὖτις δ᾽ἀνθρώπων τε γένος κρατερῶν τε Γιγάντων	-- --- u u- uu- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὑμνεῦσαι τέρπουσι Διὸς νόον ἐντὸς Ὀλύμπου	--- --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
Μοῦσαι Ὀλυμπιάδες, κοῦραι Διὸς αἰγιόχοιο.	-u u-uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
τὰς ἐν Πιερίῃ Κρονίδῃ τέκε πατρὶ μιγεῖσα	- - -uu- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
Μνημοσύνη, γουνοῖσιν Ἐλευθῆρος μεδέουσα,	-uu- --u u--- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
λησμοσύνην τε κακῶν ἄμπαυμά τε μερμηράων.	-uu- u u- --u u ----	dactylic hexameter	masculine penthemimeral, trithemimeral
ἐννέα γάρ οἱ νυκτὸς ἐμίσγετο μητίετα Ζεὺς	-uu - - -u u-uu -uu- -	dactylic hexameter	feminine penthemimeral, trithemimeral
νόσφιν ἀπʼ ἀθανάτων ἱερὸν λέχος εἰσαναβαίνων·	-u u -uu- uu- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀλλʼ ὅτε δή ῥ᾽ἐνιαυτὸς ἔην, περὶ δ᾽ἔτραπον ὧραι	- uu - uu-u u- uu -uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
μηνῶν φθινόντων, περὶ δ᾽ἤματα πόλλʼ ἐτελέσθη,	-- --- uu -uu - uu--	dactylic hexameter	masculine penthemimeral
ἣ δ᾽ἔτεκʼ ἐννέα κούρας ὁμόφρονας, ᾗσιν ἀοιδὴ	- uu -uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral
μέμβλεται ἐν στήθεσσιν, ἀκηδέα θυμὸν ἐχούσαις,	-uu - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
τυτθὸν ἀπʼ ἀκροτάτης κορυφῆς νιφόεντος Ὀλύμπου.	-u u -uu- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἔνθα σφιν λιπαροί τε χοροὶ καὶ δώματα καλά.	-- - uu- u u- - -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
πὰρ δ᾽αὐτῇς Χάριτές τε καὶ Ἵμερος οἰκίʼ ἔχουσιν	- -- uu- u u -uu -u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἐν θαλίῃς· ἐρατὴν δὲ διὰ στόμα ὄσσαν ἱεῖσαι	- uu- uu- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
μέλπονται πάντων τε νόμους καὶ ἤθεα κεδνὰ	--- -- u u- - -uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀθανάτων κλείουσιν, ἐπήρατον ὄσσαν ἱεῖσαι.	-uu- --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
