τε λίθων	u u-	lyric	
μυιάων ἀδινῶν ἔθνεσιν εἰδομένους.	--- uu- -uu -uu-	dactylic pentameter	
τοὺς μὲν ἕλεν βροτολοιγὸς Ἄρης ἀκόρητος ἀϋτῆς	- u u- uu-u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
σὺν μάχῃ εὐθείῃ, τοὺς δ᾽ὑπὲρ ἄκρα βάλεν.	- uu --- - uu -u u-	dactylic pentameter	
ἡμεῖς οὖν πάρνοψιν ἐοικότες ἢ γεράνοισιν	-- - --u u-uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
στείχωμεν κοίλῃς ἀσπίσι φραξάμενοι,	--- -- -uu -uu-	dactylic pentameter	
χωρὶς Πάμφυλοί τε καὶ Ὑλλεῖς ἠδὲ Δυμᾶνες	-- --- u u -- -u u--	dactylic hexameter	masculine penthemimeral
ἀνδροφόνους μελίας χερσὶν ἀνασχόμενοι.	-uu- uu- -u u-uu-	dactylic pentameter	
οὕτω δ᾽ἀθανάτοισι θεοῖς ἐπὶ πάντα τιθέντες	-- -uu-u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral
ἱερῷ ἀτερμονίῃ πεισόμεθ᾽ ἡγεμόνι.	-u u-uu- -uu -uu-	dactylic pentameter	
ἀλλ᾽ εὐθὺς σύμπα_ντες ἀλοιησεῦμεν ἁμαρτῆ	- -- --u u---u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀνδράσιν αἰχμηταῖς ἐγγύθεν ἱστάμενοι:	-uu --- -uu -uu-	dactylic pentameter	
δεινὸς δ᾽ἀμφοτέρων ἔσται κτύπος ἀντιτιθεντων	-- -uu- -- uu -uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ἀσπίδας εὐκύκλους ἀσπίσι τυπτομένας,	-uu --- -uu -uu-	dactylic pentameter	
αἰνὰ δ᾽ἀϋτήσουσιν ἐπ᾽ ἀλλήλοισι πεσόντες,	-u u---u u ---u u--	dactylic hexameter	feminine penthemimeral
ὤσαντες δ᾽ἀνδρῶν στήθεσιν ἀμφὶ δόρυ:	--- -- -uu -u u-	dactylic pentameter	
κοὐδὲνͅ ἐρωήσουσιν ἐρεικόμενοι βελέεσσιν,	-u u---u u-uu- uu--	dactylic hexameter	feminine penthemimeral
ἀλλ᾽ ὑπὸ χερμαδίων βαλλόμεναι μεγάλων	- uu -uu- -uu- uu-	dactylic pentameter	
ἀκλινέες κόρυθες καναχὴν ἕξουσιν ἀρῄην.	-uu- uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
