μοῦσαι Πιερίηθεν ἀοιδῇσι κλείουσαι,	-- -uu-u u--- ---	dactylic hexameter	feminine penthemimeral
δεῦτε Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι.	-u u -uu- uu- uu ----	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὅν τε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,	- u u- uu -u u- uu- u u- -	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ῥητοί τ’ἄρρητοί τε Διὸς μεγάλοιο ἕκητι.	-- --- u u- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ῥέα μὲν γὰρ βριάει, ῥέα δὲ βριάοντα χαλέπτει,	- - - uu- uu - uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ῥεῖα δ’ἀρίζηλον μινύθει καὶ ἄδηλον ἀέξει,	-u u--- uu- u u-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ῥεῖα δέ τ’ἰθύνεισκολιὸν καὶ ἀγήνορα κάρφει	-u u ---uu- u u-uu --	dactylic hexameter	hepthemimeral
Ζεὺς ὑψιβρεμέτης, ὃς ὑπέρτατα δώματα ναίει.	- --uu- u u-uu -uu --	dactylic hexameter	masculine penthemimeral
κλῦθι ἰδὼν ἀΐων τε, δίκῃ δ’ἴθυνε θέμιστας	-u u- uu- u u- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τύνη· ἐγὼ δέ κε Πέρσῃ ἐτήτυμα μυθησαίμην.	-u u- u u -u u-uu ----	dactylic hexameter	feminine penthemimeral, trithemimeral
οὐκ ἄρα μοῦνον ἔην Ἐρίδων γένος, ἀλλ’ ἐπὶ γαῖαν	- uu -u u- uu- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
εἰσὶ δύω· τὴν μέν κεν ἐπαινήσειε νοήσας,	-u u- - - u u---u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
ἣ δ’ἐπιμωμητή· διὰ δ’ἄνδιχα θυμὸν ἔχουσιν.	- uu--- uu -uu -u u--	dactylic hexameter	masculine penthemimeral
ἣ μὲν γὰρ πόλεμόν τε κακὸν καὶ δῆριν ὀφέλλει,	- - - uu- u u- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
σχετλίη· οὔ τις τήν γε φιλεῖ βροτός, ἀλλ’ ὑπ’ ἀνάγκης	-uu - - - u u- uu - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ἀθανάτων βουλῇσιν Ἔριν τιμῶσι βαρεῖαν.	-uu- --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
τὴν δ’ἑτέρην προτέρην μὲν ἐγείνατο Νὺξ ἐρεβεννή,	- uu- uu- u u-uu - uu--	dactylic hexameter	masculine penthemimeral, trithemimeral
θῆκε δέ μιν Κρονίδης ὑψίζυγος, αἰθέρι ναίων,	-u u - uu- --uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
γαίης τ’ἐν ῥίζῃσι καὶ ἀνδράσι πολλὸν ἀμείνω·	-- - --u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἥ τε καὶ ἀπάλαμόν περ ὁμῶς ἐπὶ ἔργον ἐγείρει·	- u u -uu- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
εἰς ἕτερον γάρ τίς τε ἴδεν ἔργοιο χατίζων	- uu- - - u u- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
πλούσιον, ὃς σπεύδειμὲν ἀρώμεναι ἠδὲ φυτεύειν	-uu - --u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
οἶκόν τ’εὖ θέσθαι·ζηλοῖ δέ τε γείτονα γείτων	-- - ---- u u -uu --	dactylic hexameter	hepthemimeral, trithemimeral
εἰς ἄφενος σπεύδοντ’· ἀγαθὴ δ’Ἔρις ἥδε βροτοῖσιν.	- uu- -- uu- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
καὶ κεραμεὺς κεραμεῖκοτέει καὶ τέκτονι τέκτων,	- uu- uu-uu- - -uu --	dactylic hexameter	hepthemimeral, trithemimeral
καὶ πτωχὸς πτωχῷ φθονέει καὶ ἀοιδὸς ἀοιδῷ.	- -- -- uu- u u-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὦ Πέρση, σὺ δὲ ταῦτα τεῷ ἐνικάτθεο θυμῷ,	- -- u u -u u- uu-uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
μηδέ σ’Ἔρις κακόχαρτος ἀπ’ ἔργου θυμὸν ἐρύκοι	-u u- uu-u u -- -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
νείκε’ ὀπιπεύοντ’ ἀγορῆς ἐπακουὸν ἐόντα.	-u u--- uu- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὤρη γάρ τ’ὀλίγη πέλεται νεικέων τ’ἀγορέων	-- - uu- uu- --u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ᾧτινι μὴ βίος ἔνδον ἐπηετανὸς κατάκειται	-uu - uu -u u-uu- uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
